Company_Description,Class_Label
"Airspan is a Leading Vendor of LTE Small Cells and Small Cell Backhaul technologies.
 
 
 
 Established originally in 1992 as a product division of DSC Communications, Airspan became a standalone company in 1997 and today has more than 1000 customers in over 100 countries around the world.
 
 
 
 Airspan has a complete range of LTE and 4G Base Stations and complementary small cell backhaul solutions using 3 LTE Relay and proprietary technologies. Airspan also addresses non mobile carrier and private network deployment including the needs of fixed Internet Service Providers, and a number of vertical market segments including Smart Grids, Public Safety, Transportation and Oil & Gas.
 
 
 
 Airspan has been at the forefront of breakthrough RAN solutions and technologies and has deep in-house expertise in LTE and LTE Advanced, OFDMA, Wi-Fi and VoIP, Airspan is able to exploit synergies and come up with innovative products and solutions that closely integrate these technologies in the most beneficial ways for customers. Airspan is also looking forward to the future with the development of solution that combine Small Cells with Gbit/s backhaul and Virtualization, which will be the basis of its 5G products and solutions.",1
"Evolving threats, expanding compliance risks, and resource constraints require a new approach. 
 
 
 
 We help customers who arent adequately served by other solutions that require installing and configuring security agents, managing data feeds, an...",1
"Altametrics is the leading provider of Enterprise Software Solutions, with a large deployment in the restaurant sector. Altametric's flagship product offering e*Restaurant, provides Food Management, Workforce Management and Supply Chain Management to the world's most successful restaurant companies.

Some of our software offerings:

eRestaurant - restaurant management system.
http://www.erestaurant.net/

Xformity: restaurant business intelligence software.
http://www.xformity.com/

eSmartClock - labor management software.
http://esmartclock.com/

Hula - full featured POS restaurant and cash register software.
http://www.hulapos.com/

OrderBee - restaurant online ordering system.
http://about.orderbee.com/

Autogas - 'Pay-at-the-Pump' fuel control and management software.
http://www.autogas.com/

HubWorks - tableside ordering and payment system.
http://www.hubworks.com/

RestaurantinaBox - restaurant app marketplace.
http://www.restaurantinabox.com/

ZipSchedules - restaurant employee scheduling app. 
http://www.zipschedules.com/",1
"Altoros is a 300+ people strong consultancy that helps Global 2000 organizations with a methodology, training, technology building blocks, and end-to-end solution development. The company turns cloud-native app development, customer analytics, blockchain, and AI into products with a sustainable competitive advantage. Assisting enterprises on their way to digital transformation, Altoros stands behind some of the world's largest Cloud Foundry deployments. 
 
 
 
 HQ: Silicon Valley (Sunnyvale, CA). 
 
 Offices: UK, Finland, and Norway. 
 
 Dev centers: US, Argentina, and Belarus. 
 
 Talent: 91.5% of employees are senior- or mid-level engineers. 
 
 Major customers: Allstate, WMG, Cisco, Autodesk, RightScale, Joyent, Couchbase, etc.",1
"AMAX is a global leader in application-tailored Cloud, Data Center, Deep Learning, HPC and OEM solutions. From white box server-to-rack integration, High Performance Deep Learning Platforms, Converged Infrastructure Solutions featuring OpenStack and SDN, to a comprehensive menu of professional services, AMAXs products and solutions have been recognized for several industry awards, including the 2014 Best of VMWorld and Intel Server Innovation Award for the CloudMaxTM Converged Cloud Infrastructure.
 
 
 
 Founded in 1979 and headquartered in Silicon Valley (with additional locations in China and Ireland), AMAX is the full-service partner you need to help modernize your IT operations. To learn more about AMAXs Deep Learning Engines or other solutions, please visit http://www.amax.com.",1
"About Us

American Broadband is committed to energizing communities and communications through strategic acquisitions of local exchange carriers serving rural areas of our country. By selecting small, often family-operated firms with a history of service and dedication to their communities, American Broadband keeps emphasis local.

American Broadband provides rural Nebraska with telecommunications products and services. ABB has the telecommunications solutions for 3 residential and business, offering high-speed Internet data to customers by wireless, fiber, DSL and cable modem. We offer state of the art voice solutions and a full range of video/ cable TV services. 

With Customer Care Centers located in Blair, Nebraska, Wayne, Nebraska, our team of customer service specialists are ready to assist residential and business customers in the communities we serve.  Our Business Account Executives work directly with businesses ranging in size from one employee to enterprise-level to develop communications solutions to meet the needs of their organizations now and in the future.  American Broadband also maintains service technicians in its many communities to allow for expedited installation, service and troubleshooting.
 

Our History
In 2006, American Broadband Corporation purchased HunTel, a family owned telecommunications company that formed in the early 1900s. The company is proud to carry on the tradition of excellence that was instilled by generations of the Hunt family for nearly a century.
 
With a history of excellence in customer care and community dedication, American Broadband continues its commitment to serving rural areas throughout Nebraska and providing up to date video, voice and data services for business and residential customers.",3
"Company Size: 200 to 500 employees.

American Unit, Inc. is a leading consulting service provider that helps organizations implement, upgrade and optimize their IT related technology expertise. We have our resources working all over the country, providing core competency in technology consulting services to companies ranging in size from small,  mid-size to Fortune 500  companies. Our proven expertise makes us the ideal strategic partner for most companies in providing industry-focused consulting services. 

American Unit, Inc is an innovative IT company that provides solutions & resources to wide range of clients. We are a global IT Services firm with well rounded expertise across all information technologies. We provide custom solutions to complex problems with a hands on approach to tackle any job at hand.

American Unit has been honored time and again for our leadership in the IT industry by such distinguished organizations as Deloitte and Inc. Magazine. We provide our services across the United States.

Our Core Services:-
Managed IT services
Payroll servicing for small to mid market
Business Consulting 
System Integration 
Custom Application Development
Resource augmentation as per clients need 


Solutions:- 
Guidewire
IBM Tririga
Enterprise Mobility Solution 
Cloud Computing 
Big Data Management 
Sales Force Automation 
Customer Relation Management 
Collaborations 
Enterprise Resource Planning 
Big Data Management 


Connect with us today Americanunit.com",1
"Advertising solutions for the converging world
 
 The worlds leading independent advertising platform, Amobee unifies all advertising channelsincluding TV, programmatic and socialacross all formats and devices, providing marketers with streamlined, advanced media planning capabilities powered by in-depth analytics and proprietary audience data. In 2018, Amobee acquired the assets of Videology, a premier software provider for advanced TV and video advertising. Amobees platform, with the addition of Videologys technology, provides the most advanced advertising solutions for the convergence of digital and advanced TV, including linear TV, over the top, connected TV, and premium digital video.
 
 
 
 Combining TV, digital and social on a single platform, Amobees technology powers leading global brands and agencies including Airbnb, Southwest Airlines, Lexus, Kelloggs, Starcom and Publicis. Amobee enables advertisers to plan and activate across more than 150 integrated partners, including Facebook, Instagram, Pinterest, Snapchat and Twitter.
 
 
 
 Great people make great companies and Amobee is committed to creating a vibrant, people-driven culture across the globe. Amobee has been named to Fortunes Top 10 Best Workplaces in Advertising and Marketing and recognized for workplace excellence in Los Angeles, San Diego, the Bay Area, New York, Chicago, London, Asia and Australia. For the last three years, Amobee has also been named one of SellingPowers 50 Best Companies to Sell For.
 
 
 
 Amobees leadership in technology innovation has been widely recognized, including Digiday Technology Awards for Best Data Management Platform and Best Marketing Dashboard Software, Mumbrella Asia Award for Marketing Technology Company of the Year, Wave Leader in Forresters Omnichannel Demand-Side Platforms, MediaPost OMMA Awards for Mobile Integration Cross Platform and Video Single Execution in partnership with Southwest Airlines.",1
"Analytical Graphics, Inc., headquartered near Philadelphia, PA, develops commercial modeling and analysis software for land, sea, air and space systems. Used by more than 50,000 engineers, operators and analysts worldwide, AGI software avoids the cost of reinvention, eliminates stovepipes and reduces risks associated with unproven tools. In addition to its industry-standard, flagship product: Systems Tool Kit (STK) and its application specific modules, AGI also operates the Commercial Space Operations Center (ComSpOC), which provides unprecedented space situational awareness data using a commercial sensor network. AGI is also the founder of Cesium; the leading browser-based, open source 3D globe.
 
 
 
 Since its founding in 1989, AGI has enjoyed strong growth and has been named to numerous prestigious lists, including the Inc. 500, Military Training Technologys Top 100, and Space News Top 50. AGI has been named the Best Small Company to Work for in America, and recently ranked as one of five top aerospace/military work environments in North America by Aviation Week & Space Technology magazine, all for AGIs unique atmosphere and creative management style.",1
"Ancestry is the global leader in family history and consumer genomics, harnessing a powerful combination of information, science, and technology to develop new experiences to help everyone, everywhere discover the story of what led to them. Ance...",2
"Animatron builds web-media solutions for marketers. The company is closely affiliated with JetBrains.
Animatron's leading products include: 
Wave.video - a leading tool for creating and publishing engaging videos, that are optimized for each channel.
Animatron Studio - A sophisticated, easy to use animated explainer video maker. 

  ",3
"Data driven marketing solutions are often complex, but working with a partner to deploy them should be simple.
 
 
 
 Were not a technology or data company claiming to understand marketing. Were marketers first. By way of Omnicom, we come from creative, media, public relations, direct response and other core marketing disciplines to offer solutions that solve your marketing problems. How do we know they work? Because weve been there before, just like you.
 
 
 
 We provide you with a data driven marketing strategy, powered by a connected system of technology, tools, consultants and activation. Almost as important as what we do, is what we dont do. We dont solely rely on a single technology partner, because being technology agnostic ensures that your platform isnt obsolete after six months. We dont sell prepackaged solutions, because actually getting to know your business is the only way to maintain success. We dont hold your data hostage, because nimble and flexible is the future.
 
 
 
 Subscribe to our weekly insights: http://bit.ly/1wYoir2",1
"AnyClip is the video content data pioneer. 

AnyClip's proprietary solutions leverage the most advanced Artificial Intelligence technology to analyze video content in real-time, enabling publishers, media owners, and brands to maximize the power of video. 

AnyClip has growing offices in New York, Tel Aviv, and London, and made it to the top of Deloitte's Fast 50 and Fast 500 lists two consecutive years. ",1
"In today's ""always on, always available"" world where businesses can't stop and downtime is measured in dollars, APC by Schneider Electric provides protection against some of the leading causes of downtime, data loss and hardware damage: power problems and temperature. As a global leader in network-critical physical infrastructure (NCPI) solutions, APC by Schneider Electric sets the standard in its industry for quality, innovation and support. Its comprehensive solutions, which are designed for 3 home and corporate environments, improve the manageability, availability and performance of sensitive electronic, network, communications and industrial equipment of all sizes. 
 
 
 
 From corporate headquarters in West Kingston, RI, APC operates sales offices throughout the world and manufacturing facilities on three continents. Together, APCs global teams work to fulfill their mission of creating delighted customers. To do this, the Company focuses its efforts on four primary application areas: Home/Small Office; Business Networks; Data Centers and Facilities; and Access Provider Networks. 
 
 
 
 Known for its quality, innovation and industry leading service and support, APC has perhaps the longest list of accolades in its industry. Not satisfied with this, APC is working diligently to achieve its corporate mission of creating delighted customers by improving the manageability, availability and performance of information and communication systems through the rapid delivery of innovative solutions to real customer problems.",3
"Apigee is a full lifecycle API management platform that helps businesses accelerate with APIs. Apigee gives enterprises control over and visibility into the APIs that connect applications and data, across the enterprise and across clouds. Google acquired Apigee in November 2016. ",1
"Appirio is a global services company that helps customers create next-generation Worker & Customer Experiences using the latest cloud technologies. Our free-thinking consultants deliver unmatched customer value by creating actionable strategies that deliver results quickly and help organizations adapt to a new experience-driven era. We do this by harnessing the power of one of the worlds largest crowdsourcing communities and thousands of pre-built solution accelerators.
 
 
 
 Appirio is a trusted partner to some of the worlds largest brands, including YP, Cardinal Health, eBay, Facebook, Home Depot, Sony PlayStation, Moen, and IBM.",1
"Applied Imaging is a locally owned and operated privately held company that is committed to providing the best information and technology available today to the companies we do business with in order to help them achieve their goals of not just surviving this economy, but growing in it.",1
"As of September 25, 2018, AppNexus is now ""AppNexus, A Xandr Company."" Please follow along on https://www.linkedin.com/company/xandr/",0
"Apps Associates is a global IT services company that enables organizations to implement, adopt and manage Oracle Applications, Cloud Infrastructure, Salesforce, Analytics and Integration solutions. We partner with our customers to enable their journey to the cloud and deliver continuous business improvement with our managed services. We differentiate through our relentless attention to delivery excellence and customer care. Apps Associates is an Oracle Platinum Partner, a Premier Consulting Partner with Amazon Web Services and a Salesforce Silver Consulting Partner. Learn more about us at http://www.appsassociates.com.",1
"Aptean provides very specific industries with very specific ERP, supply chain management, and customer experience solutions.
 
 
 
 In todays fast-paced, highly competitive economy, organizations dont have time to waste forcing homegrown software, spreadsheets, and one-size-fits-all solutions to do things they were never designed to do. Aptean is on a mission to end those workarounds with industry-specific solutions instead of generic software, expert support instead of making you go it alone, and a steady influx of new ideas instead of the status quo.
 
 
 
 Thats why over 2,500 highly specialized organizations in more than 20 industries and 54 countries rely on Aptean to streamline their everyday operations.
 
 
 
 Headquartered in Alpharetta, Georgia, Aptean has offices in North America, Europe, and Asia-Pacific, as well as an extensive partner channel. Our customers are located across Europe, Latin America, Asia-Pacific and North America.
 
 
 
 To learn more about working at Aptean, visit our careers site at https://www.themuse.com/profiles/aptean.",1
"Aptos: Engaging Customers Differently
 
 
 
 In an era of virtually limitless choice, sustained competitive advantage only comes to retailers who engage customers differentlyby truly understanding who they are, what they want and why they buy. At Aptos, we too, believe that engaging customers differently is critical to our success. We are committed to a deep understanding of each of our clients, to fulfilling their needs with the retail industrys most comprehensive omnichannel solutions, and to fostering long-term relationships built on tangible value and trust. More than 1,000 retail brands rely upon our Singular Commerce platform to deliver every shopper a personalized, empowered and seamless experience no matter when, where or how they shop. Learn more: www.aptos.com and info@aptos.com.",1
"NETSCOUT Arbor DDoS protection and network visibility solutions have been tested and proven in the world's largest, most complex networks. We deliver powerful visibility and traffic intelligence, at internet scale. Arbor’s Active Threat Level Analysis System (ATLAS) delivers a truly comprehensive view into internet traffic, trends and threats. With visibility into one-third of all internet traffic, we are ideally positioned to deliver actionable, situational intelligence about botnets, DDoS attacks and malware that threaten Internet infrastructure and network availability.",1
"Aruba, a Hewlett Packard Enterprise company, is a leading provider of next-generation network access solutions for the mobile enterprise. The company designs and delivers Mobility-Defined Networks that empower IT departments and #GenMobile, a new generation of tech-savvy users who rely on their mobile devices for every aspect of work and personal communication. To create a mobility experience that #GenMobile and IT can rely upon, Aruba Mobility-Defined Networks automate infrastructure-wide performance optimization and trigger security actions that used to require manual IT intervention. The results are dramatically improved productivity and lower operational costs.
 
 
 
 To learn more, visit Aruba at http://www.arubanetworks.com. For real-time news updates follow Aruba on Twitter (@ArubaNetworks) and Facebook (https://www.facebook.com/pages/Aruba-Networks), and for the latest technical discussions on mobility and Aruba products visit Airheads at thttp://community.arubanetworks.com.",1
"Aurea is the technology behind some of the worlds greatest customer experiences, for the largest and most successful brands. Aureas platform, engagement and vertical solutions help companies create exceptional, end-to-end experiences for their...",1
"Automation Anywhere is the leader in Robotic Process Automation (RPA), the platform on which more organizations build world-class Intelligent Digital Workforces. Automation Anywheres enterprise-grade platform uses software bots that work side by side with people to do much of the repetitive work in many industries. It combines sophisticated RPA, cognitive and embedded analytic technologies. Over 1,100 organizations use this AI-enabled solution to manage and scale business processes faster, with near-zero error rates, while dramatically reducing operational costs. Automation Anywhere provides automation technology to leading financial services, insurance, healthcare, technology, manufacturing, telecom and logistics companies globally. For additional information, visit www.automationanywhere.com.",1
CA Technologies is now a Broadcom company. Follow https://www.linkedin.com/company/broadcom/ for information regarding computer software jobs with Broadcom.,1
"Avalara helps businesses get tax compliance right. Avalaras customers face demanding tax obligations imposed by state, local, and other taxing authorities around the world, and rely on Avalara to provide efficient and accurate solutions to manage those requirements. The company provides solutions for various transactional taxes, including sales and use, VAT, excise, communications, and others. Each year, Avalara serves customers by processing billions of tax transactions, filing more than a million transaction tax returns, and managing millions of tax exemption certificates and other compliance documents.
 
 
 
 Headquartered in Seattle, Avalara has offices across the U.S. and around the world in the U.K., Belgium, Brazil, and India.",1
"AvePoint accelerates your digital transformation success. Over 16,000 companies and 6 million SharePoint and Office 365 users worldwide trust AvePoint software and services for their data migration, management, and protection needs in the cloud, on-premises and hybrid environments.
 
 
 
 A four-time Microsoft Partner of the Year, AvePoint is a Microsoft Global ISV Partner and has been named to the Inc. 500|5000 six times and the Deloitte Technology Fast 500 five times. Founded in 2001, AvePoint is privately held and headquartered in Jersey City, NJ.",3
"Behind award-winning films, videos, music recordings, TV shows, live concerts and news broadcasts is Avid providing content creators with the tools to make, manage, store, distribute and monetize content.
 
 
 
 The Avid MediaCentral Platform is an open, extensible and customizable foundation that streamlines your entire workflow. It offers four suites: Artist, Media, Storage and Studio. The Artist Suite allows users to create audio, video and graphics with proven and trusted creative tools. With the Media Suite, users can manage, distribute and monetize media with powerful collaborative systems. The Storage Suite allows users to capture, store, protect and play media with high-performance systems. And with the Studio Suite, users can captivate and engage viewers with in-studio and sports enhancement tools.
 
 
 
 Whether youre in Audio and Music production, Broadcast and Media, or Video Production, Avid addresses your key needs and provides a more efficient way of working.",3
"Axway is a catalyst for transformation. With Axway AMPLIFY, our cloud-enabled data integration and engagement platform, leading brands better anticipate, adapt and scale to meet ever changing customer expectations. Our unified, API-first approach connects data from anywhere, fuels millions of apps and delivers real-time analytics to build customer experience (CX) networks that unite not only employees, but suppliers, partners and developers into an agile force for innovation thats as fast and fluid as todays digital customer. 
 
 
 
 AMPLIFY sits atop a secure and agile data integration foundation built to accelerate the pace of DevOps and turn rigid, siloed data streams into a single, manageable infrastructure that moves as fast as you want. Its a platform that gets everyone in sync to heighten efficiency and simplify the onboarding of new community members.
 
 
 
 Full API lifecycle management for enterprise architects, developers, security engineers and integration managers spurs innovation with API-based services that drive compelling customer experiences. Native cross-platform mobile app development and testing speeds time to market, connects to any data source in minutes via mobile-optimized APIs and drives user engagement and app success with real-time mobile analytics. And end-to-end visibility and business-oriented metrics let you predict unexpected situations, make optimal decisions and measure performance for continuous improvement. 
 
 
 
 AMPLIFY is flexible enough to quickly start up with a single use case or scale to run many of your organizations mission-critical services. It builds on and extends the proven capabilities of Axway product sets Analytics, API Lifecycle Management, App Development, Community Management, Integration adding a common layer of security and visibility, a unified user experience, a comprehensive API catalog, and easier DevOps adoption.
 
 
 
 To learn more, visit www.axway.com.",3
"Baaz is a next generation social media platform created for the Middle East and North African (MENA) region. By using powerful analytics, trend analysis, and advanced natural language processing technology, our platform provides relevant and reliable news and information to users worldwide.",2
"Kasasa Ltd. is a wholesale financial services company headquartered in Austin, Texas.",1
"BarcodesInc is North Americas leading provider of barcode, mobile computing, point-of-sale and RFID products and solutions. Founded in 1994, BarcodesInc has earned its reputation as a top value-added reseller and integrator in the auto ID and data collection industry. With more than 70 product categories for asset management and inventory Tracking, we help customers increase efficiency and reduce costs through implementing fast, accurate electronic information flow solutions, customized for any budget or business size. At our core, we are uncompromising about customer service, providing individual technical account managers who collaborate with each customer to build long-term strategic solutions and result-driven relationships.",1
"At Barracuda we strive to make the world a safer place. We believe every business deserves access to cloud-enabled, enterprise-grade security solutions that are easy to buy, deploy, and use. We protect email, networks, data, and applications with innovative solutions that grow and adapt with our customers journey. More than 150,000 organizations worldwide trust Barracuda to protect them in ways they may not even know they are at risk so they can focus on taking their business to the next level.",1
"Benefitfocus (NASDAQ: BNFT) unifies the entire U.S. benefits industry on a single technology platform to protect consumers' health, wealth and lifestyle. Our powerful cloud-based software, data-driven insights and thoughtfully-designed services, enable employers, insurance brokers and carriers to simplify the complexity of benefits administration and deliver a world-class benefits experience.",0
"Bioclinica is the leader in scientifically-driven services and technology-enabled solutions in clinical research. 
 
 
 
 Clinical trials are complex, and traditional approaches are either monolithic or fragmented. Successful trials require an ability to see key details and uncover hidden insights. Employing our scientifically-driven and technology-enabled approach, Bioclinica brings CLARITY to clinical trials for better decisions. With such clarity comes the insight to help trial sponsors and Clinical Research Organizations (CROs) develop new life-improving therapies more efficiently and safely ? and with improved quality outcomes. 
 
 
 
 Our scientific, medical, technology and domain expertise is unmatched and spans all major therapeutic areas ? and the full trial lifecycle, from study protocol, to post-approval. Key offerings include: Medical imaging; Cardiac Safety; Clinical Adjudication; Randomization & Trial Supply Management and Optimization; Electronic and eSource Data Capture; Site Payments and Forecasting; Pharmacovigilance; Trial Management; and Risk-based Monitoring. Additionally, as a true multifaceted partner to trial sponsors and CROs, Bioclinica offers an integrated App xChange partner ecosystem, a global Research Network of investigative sites, Patient Recruitment and Lost to Follow-up Services, and Post-approval Research expertise. 
 
 
 
 Bioclinica and our thousands of employees serve more than 400 pharmaceutical, biotechnology and device organizations including all of the top 20 biopharmaceutical companies and leading CROs through a network of offices in the U.S., Europe, and Asia. Learn more about our complete offerings, detail-focused service, and flexible models tailored to your business needs at www.Bioclinica.com.",1
"Birchbox is beauty made easy. Founded in 2010, we redefined the way people shop for beauty and grooming by pairing a monthly delivery of personalized samples with original content and a robust e-commerce shop. We partner with the best brands in the industry, from mainstream favorites to niche up-and-comers, and use a proprietary algorithm to send the right products to the right people, based on their profiles and preferences. Plus, we offer tips, tutorials, reviews and a generous loyalty program to give customers the confidence to buy their new favorites in the Birchbox Shop.",2
"Birst, an Infor company, provides an advanced networked business analytics platform. Organizations can achieve a new level of trusted insight and decision making by connecting their data and people via a network of analytics services. Birst scales from individuals to the enterprise in a manner that is smart, connected, and scalable. 
 
 
 
 Learn more at www.birst.com.",1
"Blackboard understands that the way people learn is dynamic, and that the education landscape is continuously evolving. Our mission is to partner with the global education community to enable student and institutional success, by leveraging innovative technologies and services.
 
 
 
 With an unmatched understanding of the world of the learner, the most comprehensive student-success solutions, and the greatest capacity for innovation, Blackboard is educations partner in change. We are driving the industry to new destinations.",3
"Dell Boomi, an independent business unit of Dell, quickly and easily unites everything in your digital ecosystem so you can achieve better business outcomes, faster. Our intelligent, flexible, scalable platform accelerates your business results by linking your data, systems, applications, processes and people. Harnessing the power of the cloud to unify everything inside and outside of a business, Boomi gives our customers the agility to lead the future. ",1
"Bright House Networks is the sixth largest owner and operator of cable systems in the U.S. and the second largest in Florida with technologically advanced systems located in five states including Florida, Alabama, Indiana, Michigan and California. Bright House Networks serves more than 2.4 million customers who subscribe to one or more of its video, high-speed data and voice services. The company also offers a full suite of phone, Internet, Ethernet and cable television services to businesses of all sizes. Bright House Media Strategies, the advertising arm of Bright House Networks, offers businesses advanced targeted advertising solutions. Bright House Networks also owns and operates exclusive local news and sports channels in its Florida markets.",1
"Build.com is the fastest-growing online home improvement retailer. We are committed to providing the best selection, unmatched customer service, and the easiest online shopping experience.
 
 
 
 At Build.com, creative thinking and collaboration are the keys to our success. We continually encourage our employees to contribute their ideas, and we are looking for individuals who want to be part of a team and grow with us as a community.
 
 
 
 WHY WORK WITH US?
 
 
 
 At Build.com were always innovating blending cutting-edge technology with unparalleled customer service. Our forward-thinking philosophy extends beyond our websites, and were very proud of the unique work environment weve created. Build.com promotes an open and diverse culture because we know that great ideas can come from everywhere. Were looking for people who share our passion for innovation; people who think big and arent afraid to take risks. We believe in rewarding hard work and initiative. We know that our success is dependent on our team thats why were very selective about whom we ask to join us. If youre passionate, creative, and genuine, we think youll love working at Build.com
 
 
 
 CULTURE
 
 Build.com is a unique place where we encourage diversity of thought and experiences to grow our business year over year. The drive, motivation, and innovation everyone brings to the table foster the success of Build.com. Our focus on our people creates a strong sense of community where everyone feels supported even when taking risks. We empower people to contribute to their maximum potential and are fully invested in their professional growth
 
 
 
 PERKS & BENEFITS
 
 +Competitive Compensation Packages
 
 +Great 401(k), time off and benefits which includes Medical, Dental, Life, Disability, and Vision
 
 +Team building and company-wide events 
 
 +Internal Training programs suited to what you are wanting to develop in
 
 +Associate discounts perks
 
 +Education reimbursement program
 
 +Promote community involvement events",2
"BuildDirect is the first open network for heavyweight products. The network includes the:

1) BuildDirect Home Marketplace -- an online marketplace that offers buyers a wide selection of products at the best value, direct-to-home shipping, free virtual design tools and best-in-class customer service. Sellers are able to leverage the marketplace to showcase and sell their home improvement products directly to consumers, helping homeowners get a simple and more trusted online shopping experience.

2) Gateway Supply Chain -- the first anywhere-to-anywhere supply chain for heavy goods, which equips sellers with unprecedented levels of data to manage their business and improve the overall buyer experience. 

3 the BuildDirect Home Marketplace and Gateway Supply Chain leverage machine learning and predictive analytics to drive robust efficiencies for innovation of heavyweight product services across buyers, sellers and everyone in between.

Shop: www.builddirect.com
Sell: www.builddirect.com/seller
Ship: www.gatewaysupplychain.com",2
