coLiID,coLiURL,coWebSite,coIndustry,coSize,coType,Company_Name,liCompanyLogoUrl,Company_Description,Class_Label,"Consulting = 1
Non-Consulting = Blank",Keyword,employeeCount,addrStreetAddr1,addrLocality,addrRegion,addrPostalCode,addrCountryName,youtube_link,instagram_link,facebook_link,linkedin_link,twitter_link,keywords,description,response_code
34183,https://www.linkedin.com/company/34183,http://www.designstrategy.com,Information Technology and Services,501-1000 employees,Privately Held,Design Strategy (a Division of USEReady),,"Design Strategy is a solutions development company, specializing in the Information Technology (IT) field since 1980.

",0,,,,"Design Strategy Corporation, 20 Commerce Drive, Suite 210","Cranford, NJ 07016",888-425-2404,Tel: 908-709-9800,United States,[],[],[https://facebook.com/JMAITInc],[https://linkedin.com/company/jma-information-technology],[https://twitter.com/JMAITInc],[],[],
57167,https://www.linkedin.com/company/57167,http://www.todo1.com,Information Technology and Services,201-500 employees,Privately Held,TODO1 Services Inc.,,"TODO1 es una compañía líder en la creación, implementación y operación de soluciones digitales omnicanal, para compañías del sector financiero y del ecosistema de negocio FINTHEC. Desde hace más de 16 años, TODO1 ha transformado positivamente la vida de las personas y la productividad de las empresas, a través de experiencias memorables, aumentando la eficiencia y la rentabilidad de los bancos. Nuestros productos, servicios y soluciones son innovadores y seguros, permitiéndole a los bancos y a las entidades financieras, prestar servicios a sus clientes a través de canales digitales en América Latina.",0,,,,10451 NW 117th Ave. Suite 250,Miami,Florida,33178,United States,[],[],[https://facebook.com/JMAITInc],[https://linkedin.com/company/jma-information-technology],[https://twitter.com/JMAITInc],[],[],
13042,https://www.linkedin.com/company/13042,http://www.neustarinfoservices.biz,Information Technology and Services,201-500 employees,Public Company,TARGUSinfo is now Neustar Information Services,,"PLEASE NOTE: TARGUSinfo is now Neustar Information Services, a division of Neustar, Inc. Please follow us at www.linkedin.com/company/neustar-inc or go to our website www.neustarinfoservices.biz to learn more.

Neustar Information Services is the trusted provider of real-time information services and analytics, and the only one with IAN (Identifiers, Attributes and Network), the authoritative on demand insight engine. IAN powers a broad suite of complementary, multichannel consumer information solutions–including Identification, Verification, Scoring, Location, Caller ID, Online Display Ad Audience Marketing and Real-Time Analytics–to help clients make informed, actionable decisions in real-time when interacting with large volumes of consumers, one interaction at a time. As a result, America’s top brands rely on Neustar’s authoritative, current and secure solutions to improve audience interactions, increase conversion rates, optimize customer experiences, as well as reduce transactional risks and costs.",0,,,,"1861 International Drive, 6th Floor",McLean,VA,22102,United States,[https://youtube.com/user/NeustarInc],[],[https://facebook.com/pg/OfficialNeustar/about/?ref=page_internal],[https://linkedin.com/company/neustar-inc],[https://twitter.com/#!/Neustar],[],[Neustar's marketing solutions will help you gain and retain high-value customers. Leverage cutting edge marketing technology and data - elevate your marketing today.],200
141334,https://www.linkedin.com/company/141334,http://www.continentalbroadband.com,Information Technology and Services,201-500 employees,Privately Held,Continental Broadband,,Data center and managed services solutions.,0,,,,,,,,United States,[],[],[],[],[],[],[],200
66302,https://www.linkedin.com/company/66302,http://www.it-austria.com,Information Technology and Services,501-1000 employees,Privately Held,iT-AUSTRIA,,"Key provider of Information Technology (IT) services within financial services industry of Austria. By far largest datacenter operator for financial services within Austria and surrounding CE countries.
Joint-venture of Unicredit Bank Austria and Erste Group Bank. Has also operative subsidiaries in CE countries (incl. Czech Republic and Slovak Republic).",0,,,,,,,,United States,[],[],[],[],[],[],[],
68132,https://www.linkedin.com/company/68132,http://www.entercoms.com,Information Technology and Services,201-500 employees,Privately Held,"Entercoms, Inc.",https://media.licdn.com/mpr/mpr/shrink_400_400//AAEAAQAAAAAAAAk1AAAAJDMzOGE3YWQwLWM5MDMtNDhmNi1iYTk3LTk1MDdlNjYzOTBhZQ.png,"Entercoms enables Global OEMs and operators with complex service operations to manage risks, maximize revenue and drive greater control over business outcomes. As a digital technology and services company, Entercoms powers the service chain through business-driven IP and analytical models, domain expertise, operations support services and cross-industry best practices.

Since 2008, Entercoms’ BPaaS solutions and unique engagement model has been enabling global leaders achieve, not just visibility, but control over the key levers of their service operation, allowing their management to be more proactive and their services more responsive to the needs of their customer. Entercoms has consistently delivered material improvements to the critical drivers of their service businesses and accelerated their outcomes.

Our unique mix of IP technology, non-disruptive engagement model, outcome and performance-based managed services, and rapid time to value has earned Entercoms the distinction of being listed as one of Gartner’s Cool Vendors in Supply Chain Services, 2016. We have also achieved “Winner’s Circle” membership in the HfS Blueprint Report for our innovation-driven business while our industry leadership and vision have earned us the recognition of the Ernst & Young’s Entrepreneur of the Year Award, 2012.",0,,,,"5215 North O’Connor Blvd., Suite 375, Williams Square",Irving,,TX 75039,United States,[],[],[],[https://linkedin.com/company/entercoms],[https://twitter.com/entercoms_inc],[],[],200
67863,https://www.linkedin.com/company/67863,http://www.effectivesoft.com,Information Technology and Services,201-500 employees,Privately Held,EffectiveSoft,,"EffectiveSoft is an international software development service provider with more than 16 years of professional experience. We are headquartered in San Diego, CA, and offer both local and off-shore presence. EffectveSoft team today counts up to 250 people (both onsite and off-shore). We have been 3x MS Gold Certified and 2x MS Silver Certified. We provide a full cycle of software development services, with main focus on MS Stack, Java, PHP and mobile technologies.

EffectiveSoft participated in mission-critical projects for such end-clients as Deutsche Bank, IKEA, British Gas, Tanker Pacific and Wates Group. Our professional experience covers such industry domains as healthcare, document management, insurance, e-trading, logistics & transportation, banking & finance, and more.",0,,,,"4445 Eastgate Mall,  Suite 200",San Diego,California,92121,United States,[],[],[https://facebook.com/EffectiveSoft],[https://linkedin.com/company/effectivesoft],[https://twitter.com/EffectiveSoft],[],"[Software development company with 20 years of experience, 250 professional software developers, 1500 successfull projects and top programming awards]",200
97178,https://www.linkedin.com/company/97178,http://www.nfrastructure.com,Information Technology and Services,201-500 employees,Privately Held,nfrastructure,,"nfrastructure partners with the world’s most admired brands to design, build, and support integrated technology environments for an increasingly connected world. An insight, execution, and results culture delivers on-time, every-time. nfrastructure offers: world-class engineering talent, on-site technical service in every major North American market, tightly integrated high-availability, low cost remote support and an innovative, proprietary “nterprise” software suite to manage complex projects. 20+ years of experience, unparalleled technical expertise, and overwhelmingly satisfied customers, partners and employees have proven nfrastructure's ability to cultivate sustainable business model innovation across the Internet of Everything (IoE) spectrum.",0,,,,5 Enterprise Avenue,Clifton Park,NY,12065,United States,[https://youtube.com/user/nfrastructure1992],[],[https://facebook.com/nfrastructure],[],[https://twitter.com/nfrastructure],[],[],200
128748,https://www.linkedin.com/company/128748,http://staleyinc.com,Information Technology and Services,201-500 employees,Privately Held,"Staley, Inc.",,"For more than six decades, Staley has been building relationships by providing solutions that exceed customer expectation and adapting to a rapidly-changing technological environment. It started in 1951 when R.E. Staley opened a small, residential electrical service business that he operated from his garage. He focused on exceeding the expectations of his customers in every way possible; with that philosophy in place, the business grew.

Our company has changed and evolved with new technologies and client needs. In the 1980s, Staley Technologies exploded in the POS (point-of-sale) space by recognizing our clients needed a partner who could provide design, assembly and installation of specialized equipment for these systems. We developed a unique solution for this demand and exceeded expectations.

Adapting to our clients’ needs and providing innovative solutions continues to drive Staley towards the future. Today, Staley is in its third-generation of family ownership, and our commitment to providing value to our clients in knowledge, processes and workmanship has never been stronger.

Our mission is to show extraordinary care through reliable technology deployment services, strong client relationships and a commitment to Staley Nation. We do this through living our Core Values of Stewardship, Trust, Agility, Loyalty, Excellent Client Service and Yes! Attitude.",0,,,,8101 Fourche Road,Little Rock,AR,72209,United States,[],[],[https://facebook.com/Staley-Technologies-399386400543882],[https://linkedin.com/company/staley-inc],[https://twitter.com/StaleyInc],[],"[Staley Inc is a National Cabling, Power Supply, Network and Technology Deployment. We are an award-winning company and look forward to serving you.]",200
93758,https://www.linkedin.com/company/93758,http://www.pouncecorp.com,Information Technology and Services,201-500 employees,Privately Held,Pounce Consulting,,"Pounce is an agent of change for our clients, our communities and our society. As a Mexican technology firm it is a company of innovation in leading technology that develops, transforms and integrates projects and platforms. 
We are a company of innovation in high technology that develops, transforms and integrates projects and platforms. This has leaded us to become agents of change for our clients and society.
Our company has more than 10 years of experience, beginning operations in 2001 under the premise of providing optimal and affordable technological solutions as a response of the increasing evolution of technologies.
Since our beginnings, we have been looking forward to grow and evolve constantly in order to be the main partner of our clients through the integrated business model that we have developed and implemented with success.What makes us stand out is that we offer to our clients an integral cycle of services that allows transforming ideas into finished products through custom solutions.
Our divisions: 
-  Design
-  Manufacturing
-  IT
-  Staffing
-  BPO",0,,,,"7960 Silverton Ave. Suite 113, Suite 600",San Diego,California,92126,United States,[],[],[https://facebook.com/pouncecorp?fref=ts],[],[https://twitter.com/PounceCorp],[],[pounce],200
51240,https://www.linkedin.com/company/51240,http://www.emtecinc.com,Information Technology and Services,501-1000 employees,Privately Held,Aveeva,,Aveeva was acquired by Emtec. For more information on our application development services- please visit www.emtecinc.com.,0,,,,,,,,United States,[],[],[https://facebook.com/EmtecInc],[https://linkedin.com/company/emtec-inc],[https://twitter.com/Emtecinc],[],"[Emtec is a global IT consultancy providing outstanding IT Strategy, Digital Transformation, Implementation and Support Services for Applications (Mobile, on-premise, Cloud), Analytics and IT Infrastructure to drive business agility and growth.]",200
54169,https://www.linkedin.com/company/54169,http://www.AgilisInternational.com,Information Technology and Services,501-1000 employees,Privately Held,Agilis International,,"Agilis International is a leading provider of Customer and Operational Analytics to help meet Communication Service Provider's (CSP) challenges around:  Revenue and Cost Assurance, Fraud Management, Margin Visibility, Customer Lifecycle Management, Data Warehousing and Reporting.  The solutions deployed by Agilis International cover wireline, GSM/CDMA and broadband based networks for voice, data and video services.

Most analytics use regression analysis, essentially tagging variables as good or bad, and then weighting them to produce a score.  But this does not take into account the inter-dependencies of the variables effect on each other, the effect of the timing and order of the variables occurring along with the sampling sizes that effect outcomes.  Agilis Analytics create complex relationships among variables, recognizing that timing and relationships of variables need to be accounted for in the modeling. Our analytics are self-learning programs and process more than 15 billion events per day.   Even in the world of Big Data, very few players’ models and programs get to profit from this much evidence and experience. The result is dramatically better models providing the ability to take into account all of the internal and external factors that drive decisioning, for more accurate predictions of future behaviors or patterns.",0,,,,1 Research Court,Rockville,Maryland,20850,United States,[],[],[https://facebook.com/EmtecInc],[https://linkedin.com/company/emtec-inc],[https://twitter.com/Emtecinc],[],"[Emtec is a global IT consultancy providing outstanding IT Strategy, Digital Transformation, Implementation and Support Services for Applications (Mobile, on-premise, Cloud), Analytics and IT Infrastructure to drive business agility and growth.]",
131612,https://www.linkedin.com/company/131612,http://www.matrixdisplay.com,Information Technology and Services,201-500 employees,Privately Held,Saville AV,,"UK's largest specialist supplier of audio visual, multimedia and videoconferencing technology, with over 250 personnel in ten locations",0,,,,,,,,United States,[],[],[],[],[],[],[],200
128052,https://www.linkedin.com/company/128052,http://www.flashglobal.com,Information Technology and Services,201-500 employees,Partnership,Flash Global formally System Design Advantage (SDA),https://media.licdn.com/mpr/mpr/shrink_400_400//AAEAAQAAAAAAAAQ3AAAAJGRkMDRjMTE1LWY0NDItNDg4ZS05NTg0LWE1YTYyN2UwYmE1Yw.png,"Hello,
As a valued customer of SDA I wanted to personally share exciting news. Flash Global has recently completed the acquisition of System Design Advantage (SDA). As a leader in their industry, SDA is an authorized OEM provider of service part sales and repair, as well as product fulfillment services, and Level 1-4 repairs for hi-tech products. Effective immediately, we are integrating SDA’s suite of services to drive more value and strengthen our partnership",0,,,,3711 Kennebec Drive,Eagan,MN,55122,United States,[https://youtube.com/channel/UCw21H0hJLYflkArrFi1Y5-w],[https://instagram.com/therealflashglobal],[https://facebook.com/flashglobal],[https://linkedin.com/company/flash-global-logistics-inc-],[https://twitter.com/FlashGlobal],[],"[Flash Global implements service supply chain strategies for expanding companies, creating predictability, consistency and visibility for your service logistics.]",200
136895,https://www.linkedin.com/company/136895,http://www.cyspaninc.com,Information Technology and Services,501-1000 employees,Privately Held,Cyspan,,"Cyspan is a highly qualified cost effective outsourcing partner in system development with extensive experience in the banking, financial and media sectors. Cyspan's experience and global resource pool helps our clients leverage experience, scalability, cost effectiveness and 100% guaranteed from a trusted partner.",0,,,,3550 Engineering Drive,Norcross,Georgia,30092,United States,[https://youtube.com/channel/UCw21H0hJLYflkArrFi1Y5-w],[https://instagram.com/therealflashglobal],[https://facebook.com/flashglobal],[https://linkedin.com/company/flash-global-logistics-inc-],[https://twitter.com/FlashGlobal],[],"[Flash Global implements service supply chain strategies for expanding companies, creating predictability, consistency and visibility for your service logistics.]",
106038,https://www.linkedin.com/company/106038,http://sg.nec.com,Information Technology and Services,501-1000 employees,Privately Held,NEC Asia Pacific PL,,Page is to let members and contacts know more about NEC's products and services offered in Singapore and in the region.,0,,,,,,,,United States,[https://youtube.com/user/NECglobalOfficial],[],[https://facebook.com/pages/NEC-Asia-Pacific-Pte-Ltd/1223039704502540],[https://sg.linkedin.com/company/nec-asia-pacific-pte-ltd],[https://twitter.com/NEC_APAC],"[NEC, nec, NEC Asia Pacific, NEC corporation, ICT, IT Services, IT Solutions, Industry Solutions, Business Products, hardware, software, infrastructure]","[NEC Asia Pacific provides “Solutions for Society” that promote the safety, security, efficiency and equality of society. NEC aims to help solve a wide range of challenging issues and to create new social value for the changing world of tomorrow.]",200
141895,https://www.linkedin.com/company/141895,http://www.uptivity.com,Information Technology and Services,201-500 employees,Privately Held,Uptivity,https://media.licdn.com/mpr/mpr/shrink_400_400//AAEAAQAAAAAAAAYdAAAAJDc0NTY5YjhmLTI2MmMtNDJiZS1hNDllLTU4MjFhNjQ3MjlhYQ.png,"Uptivity, an inContact company, is the only contact center workforce optimization (WFO) solution that delivers exactly what any client needs, every time, with unparalleled customer service and a lower total cost of ownership. Period.

We support you to continuously improve every aspect of any agent’s performance, thanks to a modern, integrated, and easy-to-use suite of tools that offers a unified system for performance management, workforce management, speech analytics, and call recording, always delivered every step of the way with passionate and knowledgeable in-house support.",0,,,,555 S. Front St.,Columbus,OH,43215,United States,[],[],[https://facebook.com/NICEinContact],[https://linkedin.com/company/niceincontact],[https://twitter.com/incontact],[workforce optimization software],[Learn how our workforce optimization software provides the industry's most accurate forecasts and helps foster employee ownership and accountability.],200
148095,https://www.linkedin.com/company/148095,http://www.rainkingonline.com,Information Technology and Services,201-500 employees,Privately Held,RainKing Solutions,https://media.licdn.com/mpr/mpr/shrink_400_400//AAEAAQAAAAAAAAhQAAAAJDlhYTE5ZDZkLTVhNDItNDJkNC04YTE2LTYzNjk3NWU2N2Q3NA.png,"RainKing recognizes that timing and insight turn prospects into customers, so we provide you with the richest, most up­-to­-date sales intelligence on the companies and people that need your products and services. By rigorously and continuously researching the market to determine precisely who will be making—and what will be driving—upcoming purchase decisions, our experts deliver industry­-leading intelligence that empowers you to make faster, smarter sales.

The most revered names in the technology industry proudly rely on RainKing to grow their sales. RainKing is employed by stalwarts like HP, Dell and IBM as well as red-hot up-and-comers like Tableau, FireEye, and Splunk and 1,200+ more great information and marketing technology companies.

As a RainKing client, you have access to nearly 1 million IT decision makers. 50,000+ mid to large-sized organizations. Over 1,500 investment signals published daily and customized for your needs. Contact information that’s continuously checked and re-checked every 60 days. Plus, a team of global researchers who gather, verify and deliver actionable investment signals, all in a SaaS platform that lets you filter and rank based on your needs. In other words, RainKing is far more than information. It’s sales intelligence realized.",0,,,,"7700 Old Georgetown Road, 5th Floor",Bethesda,Maryland,20814,United States,[https://youtube.com/channel/UC8ZqEiP8bey6x_fwhulxIIw],[https://instagram.com/discoverorg],[https://facebook.com/DiscoveryDB],[https://linkedin.com/company/discoverorg],[https://twitter.com/DiscoverOrg],[],[Prospect and pitch with confidence — DiscoverOrg gives you unrivaled marketing and sales intelligence proven to accelerate your business.],200
141953,https://www.linkedin.com/company/141953,http://www.chainsys.com,Information Technology and Services,201-500 employees,Privately Held,Chain-Sys Corporation,https://media.licdn.com/mpr/mpr/shrink_400_400//AAEAAQAAAAAAAAbgAAAAJDY4OTBiM2Q3LTg3MTMtNDk2My1hZjVhLTlkZGJmMDc2MzA2Ng.png,"Chain-Sys is a trusted innovator in the ERP space. Our success can be largely attributed to our project and program management experience, industry and process knowledge, in depth experience in the ERP suites and our own appLOAD™ Suite of Productivity tools (appMIGRATE™, appMDM™, appINTERFACE™, appAUGMENTER™).

Chain-Sys’ appLOAD™ Suite is deployed in top 500 enterprises of the world, powering best of practice data interfaces, data migrations and conversions, data quality initiatives, master data management, data maintenance, governance, compliance and user experience enhancements.

“Never before we had all data converted before the first CRP. With appMIGRATE tool and the methodology, we are free to concentrate on other business and process issues. It is a game changer to have pro        duction data in the target instance so early in the project.”…….   ERP Practice head of a major Systems Integrator.

“At a major document management firm, appMIGRATE data profiling facilitated reduction of Item Master size to 5% of its original size.”

“A major travel booking site gave 7 hours as cutover window. With appMIGRATE tool and the processes it recommends, the team accomplished it within 3 hours.”

“appMIGRATE successfully processed over 520 Million records of installed base for an iconic appliances brand in USA”

Robust world class software products and custom software development spring from its solid “Chain-Sys Platform” and its innovative and creative architects, designers, programmers and GUI experts. 

Chain -Sys Corporation’s flagship ERP/SCM solution, e-Chain™ is a robust integrated web based end to end ERP solution. It is the ERP solution of choice for the highly quality conscious Enterprises.

Chain-Sys AMS (Application Maintenance) for Oracle EBS is facilitating smooth operations at huge manufacturing giants.

Chain-Sys Centers of Excellence include SAP Hana, Oracle, Hyperion, Salesforce, Business Intelligence, Mobile Applications and Java.J2EE.",0,,,,"325 S Clinton St, Suite 205",Grand Ledge,MI,48837,United States,[https://youtube.com/chainsys],[],[https://facebook.com/chainsyscorp],[https://linkedin.com/company/chain-sys],[https://twitter.com/chainsys],"[enterprise cloud data management, data integration platform, business intelligence, data analysis, data integration company, enterprise cloud data management, data integration, data migration, master data management, chain sys, chainsys]","[Chain-Sys offers Data Management Platform and Solutions for major ERPs and Enterprise Applications on Cloud/On Premise. Data Migration, Integration, MDM, Reconciliation, DQM, Mobile Apps are major components.]",200
141870,https://www.linkedin.com/company/141870,http://www.ctsit.com,Information Technology and Services,501-1000 employees,Privately Held,ctsIT.com,,"ctsIT.com is a mid sized services & solutions partner to Technology Firms and Enterprise Customers in North America, Singapore , and India. What we bring to the table is a passion to deliver – every engagement fosters a long term client relationship providing predictable service.",0,,,,"5700 Kirkwood Highway, Suite 107",Wilmington,DE,19808,United States,[],[],[],[],[],[],[],404
162689,https://www.linkedin.com/company/162689,http://www.berbee.com,Information Technology and Services,501-1000 employees,Privately Held,Berbee,,"and and and and and and and and and and

and and and and and and and and and and

and and and and and and and and and and

and and and and and and and and and and

and and and and and and and and and and",0,,,,,,,,United States,[],[],[https://facebook.com/CDWCorporation],[https://linkedin.com/company/cdw],[https://twitter.com/CDWCorp],"[anti-virus, business computers, business software, business technology, business laptop, cables, cdw, cdw.com, CDW@work, computer, computer accessories, computer configuration, computer hardware, computer memory, computer service, computer technical services, computer technology services, computers, corporate computing products, desktop, desktops, desktop pcs, desktop pc, digital flow, handheld computer, handhelds, hard drives, information technology, input devices, kvm, lan products, laptop, laptops, laser printers, lcd projector, lcd projectors, macwarehouse, memory upgrades, microwarehouse, modems, monitor, monitors, network security, networking computers, notebook computers, pc, pcs, pda, power protection, printer, printer supplies, printers, projectors, scanners, server, servers, software licensing, technology products, telephony, toner, voip, wan products, wireless, wireless computing, wireless networking, workstations, www.cdw.com]","[The information technology products, expertise and service you need to make your business successful. Fast shipping, fast answers, the industry's largest in-stock inventories, custom configurations and more.]",200
