,Company_Description,Class_Label
18,"For more than six decades, Staley has been building relationships by providing solutions that exceed customer expectation and adapting to a rapidly-changing technological environment. It started in 1951 when R.E. Staley opened a small, residential electrical service business that he operated from his garage. He focused on exceeding the expectations of his customers in every way possible; with that philosophy in place, the business grew.

Our company has changed and evolved with new technologies and client needs. In the 1980s, Staley Technologies exploded in the POS (point-of-sale) space by recognizing our clients needed a partner who could provide design, assembly and installation of specialized equipment for these systems. We developed a unique solution for this demand and exceeded expectations.

Adapting to our clients’ needs and providing innovative solutions continues to drive Staley towards the future. Today, Staley is in its third-generation of family ownership, and our commitment to providing value to our clients in knowledge, processes and workmanship has never been stronger.

Our mission is to show extraordinary care through reliable technology deployment services, strong client relationships and a commitment to Staley Nation. We do this through living our Core Values of Stewardship, Trust, Agility, Loyalty, Excellent Client Service and Yes! Attitude.",0.0
19,"Pounce is an agent of change for our clients, our communities and our society. As a Mexican technology firm it is a company of innovation in leading technology that develops, transforms and integrates projects and platforms. 
We are a company of innovation in high technology that develops, transforms and integrates projects and platforms. This has leaded us to become agents of change for our clients and society.
Our company has more than 10 years of experience, beginning operations in 2001 under the premise of providing optimal and affordable technological solutions as a response of the increasing evolution of technologies.
Since our beginnings, we have been looking forward to grow and evolve constantly in order to be the main partner of our clients through the integrated business model that we have developed and implemented with success.What makes us stand out is that we offer to our clients an integral cycle of services that allows transforming ideas into finished products through custom solutions.
Our divisions: 
-  Design
-  Manufacturing
-  IT
-  Staffing
-  BPO",0.0
20,Aveeva was acquired by Emtec. For more information on our application development services- please visit www.emtecinc.com.,0.0
21,"Agilis International is a leading provider of Customer and Operational Analytics to help meet Communication Service Provider's (CSP) challenges around:  Revenue and Cost Assurance, Fraud Management, Margin Visibility, Customer Lifecycle Management, Data Warehousing and Reporting.  The solutions deployed by Agilis International cover wireline, GSM/CDMA and broadband based networks for voice, data and video services.

Most analytics use regression analysis, essentially tagging variables as good or bad, and then weighting them to produce a score.  But this does not take into account the inter-dependencies of the variables effect on each other, the effect of the timing and order of the variables occurring along with the sampling sizes that effect outcomes.  Agilis Analytics create complex relationships among variables, recognizing that timing and relationships of variables need to be accounted for in the modeling. Our analytics are self-learning programs and process more than 15 billion events per day.   Even in the world of Big Data, very few players’ models and programs get to profit from this much evidence and experience. The result is dramatically better models providing the ability to take into account all of the internal and external factors that drive decisioning, for more accurate predictions of future behaviors or patterns.",0.0
22,"UK's largest specialist supplier of audio visual, multimedia and videoconferencing technology, with over 250 personnel in ten locations",0.0
23,"Hello,
As a valued customer of SDA I wanted to personally share exciting news. Flash Global has recently completed the acquisition of System Design Advantage (SDA). As a leader in their industry, SDA is an authorized OEM provider of service part sales and repair, as well as product fulfillment services, and Level 1-4 repairs for hi-tech products. Effective immediately, we are integrating SDA’s suite of services to drive more value and strengthen our partnership",0.0
24,"Cyspan is a highly qualified cost effective outsourcing partner in system development with extensive experience in the banking, financial and media sectors. Cyspan's experience and global resource pool helps our clients leverage experience, scalability, cost effectiveness and 100% guaranteed from a trusted partner.",0.0
25,Page is to let members and contacts know more about NEC's products and services offered in Singapore and in the region.,0.0
26,"Uptivity, an inContact company, is the only contact center workforce optimization (WFO) solution that delivers exactly what any client needs, every time, with unparalleled customer service and a lower total cost of ownership. Period.

We support you to continuously improve every aspect of any agent’s performance, thanks to a modern, integrated, and easy-to-use suite of tools that offers a unified system for performance management, workforce management, speech analytics, and call recording, always delivered every step of the way with passionate and knowledgeable in-house support.",0.0
27,"RainKing recognizes that timing and insight turn prospects into customers, so we provide you with the richest, most up­-to­-date sales intelligence on the companies and people that need your products and services. By rigorously and continuously researching the market to determine precisely who will be making—and what will be driving—upcoming purchase decisions, our experts deliver industry­-leading intelligence that empowers you to make faster, smarter sales.

The most revered names in the technology industry proudly rely on RainKing to grow their sales. RainKing is employed by stalwarts like HP, Dell and IBM as well as red-hot up-and-comers like Tableau, FireEye, and Splunk and 1,200+ more great information and marketing technology companies.

As a RainKing client, you have access to nearly 1 million IT decision makers. 50,000+ mid to large-sized organizations. Over 1,500 investment signals published daily and customized for your needs. Contact information that’s continuously checked and re-checked every 60 days. Plus, a team of global researchers who gather, verify and deliver actionable investment signals, all in a SaaS platform that lets you filter and rank based on your needs. In other words, RainKing is far more than information. It’s sales intelligence realized.",0.0
28,"Chain-Sys is a trusted innovator in the ERP space. Our success can be largely attributed to our project and program management experience, industry and process knowledge, in depth experience in the ERP suites and our own appLOAD™ Suite of Productivity tools (appMIGRATE™, appMDM™, appINTERFACE™, appAUGMENTER™).

Chain-Sys’ appLOAD™ Suite is deployed in top 500 enterprises of the world, powering best of practice data interfaces, data migrations and conversions, data quality initiatives, master data management, data maintenance, governance, compliance and user experience enhancements.

“Never before we had all data converted before the first CRP. With appMIGRATE tool and the methodology, we are free to concentrate on other business and process issues. It is a game changer to have pro        duction data in the target instance so early in the project.”…….   ERP Practice head of a major Systems Integrator.

“At a major document management firm, appMIGRATE data profiling facilitated reduction of Item Master size to 5% of its original size.”

“A major travel booking site gave 7 hours as cutover window. With appMIGRATE tool and the processes it recommends, the team accomplished it within 3 hours.”

“appMIGRATE successfully processed over 520 Million records of installed base for an iconic appliances brand in USA”

Robust world class software products and custom software development spring from its solid “Chain-Sys Platform” and its innovative and creative architects, designers, programmers and GUI experts. 

Chain -Sys Corporation’s flagship ERP/SCM solution, e-Chain™ is a robust integrated web based end to end ERP solution. It is the ERP solution of choice for the highly quality conscious Enterprises.

Chain-Sys AMS (Application Maintenance) for Oracle EBS is facilitating smooth operations at huge manufacturing giants.

Chain-Sys Centers of Excellence include SAP Hana, Oracle, Hyperion, Salesforce, Business Intelligence, Mobile Applications and Java.J2EE.",0.0
29,"ctsIT.com is a mid sized services & solutions partner to Technology Firms and Enterprise Customers in North America, Singapore , and India. What we bring to the table is a passion to deliver – every engagement fosters a long term client relationship providing predictable service.",0.0
30,"and and and and and and and and and and

and and and and and and and and and and

and and and and and and and and and and

and and and and and and and and and and

and and and and and and and and and and",0.0
31,"At Velociti, our sole mission is the deployment and service of technology.  We have built our company and our reputation around the fact that we understand the importance of the implementation process and that our customers are looking for quality solution installations, which our implementation process delivers. 

We offer a unique expertise that can be leveraged in any business environment. We understand that a lengthy technology deployment process can be the demise of any great ROI model, so let our experts give your business an edge by maximizing the benefits and the return on your investment through precise rapid deployment.

We understand that the key to a successful deployment begins with our knowledgeable full-time staff of certified Technicians and Project Managers who not only understand the technology and installation processes, but also the impact of it.  When you combine our knowledge and expertise with our web-based project management tool, which allows you to follow the process every step of the way, you’ll quickly understand the Velociti Difference.  The key to a successful technology deployment and the realization of the ROI is the quality of the solution installation and the speed at which it can be deployed.

Our services include, but are not limited to:

Fleet In-Cab Communication Installations
Wireless Local Area (WLAN) Installations
WiFi Installations
Fleet Tracking (GPS) Installations
Digital Signage Installations
Collision Avoidance Installations
Video Monitoring Installations
Kiosk Installations
RFID Installations
Trailer Skirt Installations
Tire Inflation Installations
Wireless Back-up Router Installations
Cellular Site Survey's",0.0
32,"At 3Ci, we combine honesty, integrity, and delivery with culture, purpose, and mission. For almost 40 years, we have provided top tech talent for our clients and now, we combine that talent with leadership training to find the perfect fit for both our clients and our consultants. 

We put people and relationships first. This is the foundation that has driven our company to success since we opened our doors in 1978. While we continue to grow, we know that keeping a focus on our established relationships is what sets us apart from the rest. Your success is our success.

We believe in Better People. We believe in the Perfect Fit.",0.0
33,"The pioneers of Unified Utilities™


uTilogy® trademarks are intellectual property, with value both to us at uTilogy® and to our community of business customers, developers, partners, and supporters. When our trademarks maintain their strong association with quality and compatibility, the entire business community benefits.

Except as expressly authorized by uTilogy®. You agree not to reproduce, modify, rent, lease, loan, sell, distribute, mirror, frame, republish, download, transmit, or create derivative works of the Content of others, in whole or in part, by any means. You must not modify, decompile, or reverse engineer any software and/or technology uTilogy® discloses to You, and You must not remove or modify any copyright or trademark notice, or other notice of ownership.

""uTilogy® Trademarks"" means all names, marks, brands, logos, designs, trade dress, slogans and other designations uTilogy® uses in connection with its products and services. You agree to comply with the uTilogy® Trademark and Logo Usage Requirements. You may not remove or alter any uTilogy®’s Trademarks, or co-brand your own products or material with uTilogy® Trademarks, without uTilogy's prior written consent.",0.0
34,"CyberVision is a software development and integration company with R&D facilities in US and Eastern Europe. Over more than two decades in the high-tech business, CyberVision has designed and implemented a large number of innovative solutions that granted a proven competitive edge to our clients and partners.

Our expertise in software engineering doesn't stop at the technical delivery aspects, but extends further to strategic planning of the system scalability, maintenance, extensibility, competitive edge and market positioning, training and documentation coverage.

At CyberVision, we put trust in the agile methods of software development, which are based on frequent deliveries, continuous integration, close collaboration with the client, and flexible change management. Such an approach has proven to be a safe and straight road towards the project goal.

Our strongest technical expertise consists in the following domains: Mobility, Telecom, Big Data, and Internet of Things. 

Client Testimonials http://www.cybervisiontech.com/client-testimonials",0.0
35,"I am a systems analyst for Minooka CCSD #201.  I work daily with Active Directory on a Windows Server 2003 machine.  I also install new hardware and software for students, teachers, and administrators.  The district uses a combination of Windows XP Professional, Windows XP Embedded (on the thin clients), and Mac OS X",0.0
36,http://www.scionture.com,0.0
37,Chief Technical Officer,0.0
38,city government,0.0
39,C#.net,0.0
40,"Please visit the Manage Mobility Showcase page at the Peak-Ryzex company page.
https://www.linkedin.com/company/manage-mobility-by-peak-ryzex?trk=biz-brand-tree-co-name",0.0
41,One of 58 community colleges in the state of North Carolina.,0.0
42,"CELEBRATING AND PROMOTING IMMERSIVE AND FULLDOME MEDIA FOR EDUCATION AND ENTERTAINMENT
IN PLANETARIUMS, SCHOOLS, MUSEUMS, CINEMAS AND ATTRACTIONS

CELEBRATING AND PROMOTING IMMERSIVE AND FULLDOME MEDIA FOR EDUCATION AND ENTERTAINMENT
IN PLANETARIUMS, SCHOOLS, MUSEUMS, CINEMAS AND ATTRACTIONS",0.0
43,Check out our web site,0.0
44,"AmeriQuest Technologies, Inc. is an Information Technology and Services company located in Ambler, Pennsylvania, United States.",0.0
45,"Kiwiplan Inc is an Information Technology and Services company located in 2404 Chandler Ct SW # 260, Olympia, Washington, United States.",0.0
46,"Pardis Inc is an Information Technology and Services company located in 705 N Polk St, Papillion, Nebraska, United States.",0.0
47,"InterPay Solutions, Inc. is dedicated to offering PEO/ASO's the perfect solution to their clients' Workers' Compensation needs. Premiums are based on client's actual pay data, not estimated annual payroll.",0.0
48,"Office Connect LLC is an Information Technology and Services company located in 18 Homestead Dr, Trabuco Canyon, CA, United States.",0.0
49,"The Bentley Company is an Information Technology and Services company located in 4080 N Port Washington Rd, Milwaukee, Wisconsin, United States.",0.0
50,"News Express is an Information Technology and Services company located in 810 Muddy Branch Rd, Gaithersburg, Maryland, United States.",0.0
51,Provides services,0.0
52,"Velocity Partners is a nearshore software development company that strategically aligns with companies to deliver results better, faster and more cost effectively. We do this by leveraging a distributed Agile model. Distributed Agile is part of our DNA, core to our business model and ingrained in our technology processes. We offer our clients the unique combination of software development process, Agile expertise and personal accountability. We are question people – interested in engaging in two-way dialogue and understanding our customers’ challenges so that we can propose the best solutions. It is our intention to operate as a true extension of our customers’ teams, working in close collaboration throughout the life of a project. The end result is the market’s highest quality product with the lowest total cost of engagement.

Velocity Partners operates software delivery centers throughout Latin America where we have found the culture, talent and business mindset to exceed our standards for success. We are experts in software development and quality assurance, specializing in Microsoft, Open Source, mobile technologies and QA test automation.

We are proud to maintain relationships with many of the country’s most respected names in business including Microsoft, Getty Images, Oracle, WebMD and MTV. We are committed to an ongoing collaboration with our customers that drives results and a positive return - and we have the success stories to prove it.",0.0
53,"Please visit the official LinkedIn page of Sears India. This page is no more active.

https://www.linkedin.com/company/searsindia",0.0
54,"The ATS solution that means big improvements without big changes. You've spent time and resources to establish your hiring processes and they work - so why change them? 

With ResumeWare, you can achieve the best of both worlds: the ease of automation without the pain of being forced to change the way your team works. Our customized Applicant Tracking System (ATS) can be mapped to your current processes, while enabling you to make desired improvements and ensuring consistency across the board. Best of all, when change does happen, your ResumeWare solution is designed to change and grow with you.",0.0
55,"Nemours Childrens Clinic is an Information Technology and Services company located in 699 W Cocoa Beach Cswy # 401, Cocoa Beach, Florida, United States.",0.0
56,"Rainmaker Systems is a sales and marketing solutions and services company that helps organizations of all sizes, ranging from Fortune 500 enterprises to small-to-medium-sized businesses, create new revenue streams from segments of their customer base that extend beyond traditional sales team capabilities. With its unique approach, Rainmaker Systems delivers proprietary cloud-based e-Commerce technology, global and localized sales-assist agents, and best-practice sales and marketing expertise, allowing customers to discover and monetize untapped revenue opportunities.

For more information, visit http://www.rainmakersystems.com or call (800) 631-1545.",1.0
57,"IKANO Communications, Inc. provides private-label, wholesale, and retail Internet services through IP-based solutions. The company offers Google Apps services, wholesale DSL services, Internet call center services and technical support, web and mail hosting, Internet access, wholesale Exchange email, dialup access, billing, IP network, and data networking services to customers in the United States and Canada. Its solutions enable clients to manage relationships with suppliers, partners, customers, and employees. The company provides its services to Internet service providers, affinity groups, telecommunications companies, and the company’s own brands. It serves consumers in Los Angeles, San Francisco, Sacramento, and San Diego. The company has locations in Los Angeles, California; Seattle, Washington; and Toronto, Canada. IKANO Communications, Inc. was founded in 1999 and is headquartered in Salt Lake City, Utah",1.0
58,"Quest International, Inc. is a leader in B2B technology services, providing in-depth expertise, services and solutions, including onsite, field and depot services, IT managed services, device repairs, parts services, warehousing, order fulfillment and tech support. We partner with our customers to become effective extensions of their IT, RMA, Logistics and Operations departments. Headquartered in Irvine, CA, Quest has served many Fortune 500 companies in multiple industries including healthcare, industrial, utilities, aviation, government, defense and higher education for over 30 years. Quest is certified ISO 9001:2008, 13485:2003 14001:2004, and ANSI/ESD S20.20-2007 registered. For more information, please visit us at www.questinc.com or contact us at 800-231-6777.",1.0
59,"Edgewater Consulting, formerly Edgewater Technology, combines change management consulting and technical services to help clients implement transformational projects that provide a high rate of return. 

Our consultants provide deep expertise in classic management disciplines, such as Operational Excellence, Process and Organizational Assessment and Strategy, and Transition and Implementation Services. In addition, Edgewater Consulting offers focused industry expertise for healthcare providers and payers, mid-market manufacturers, and the insurance and hospitality industries.​​​",1.0
60,"Comstor is more than you might expect from a distributor. We are your Dynamic Value Partner, helping you profitably and strategically grow your Cisco business.  We are your competitive EDGE

Contact us @ 1-800-COMSTOR (266-7867) info@comstoredge.com

Building upon years of experience at the center of Cisco’s ecosystem, Comstor has defined a proven set of practices and solutions for Resellers. Then, we have charted an optimal path to market for each, with all the associated resources, training and expert support our partners need to succeed at every stage. The differentiating process is EDGE: Engage + Develop + Grow + Extend. The program leverages the power of distribution to mitigate risk and decrease time to revenue, allowing you to accelerate business growth.",1.0
61,"Indotronix was founded in April, 1986 in Poughkeepsie, NY with a vision ‘to become the preferred IT solutions vendor to the global business community’. The genesis of Indotronix’ initial success was as an IT Consulting Services Supplier to IBM. Our outstanding performance was recognized in IBM’s ‘Salute to Suppliers’, Purchasing Magazine (November 2007). Since then we have continued to add Fortune 500 clients and awards to our roster and delivered Technology Consulting Services and Solutions valued at over $1 billion across industry verticals and technologies. Today we are recognized as an invaluable Supplier of IT, Engineering, Clinical, Scientific and Professional resources by our clients., several of whom have retained Indotronix for an average of 10+ years. This has been made possible by a corporate culture driven by excellence focusing on our clients and consultants.",1.0
62,"Welcome to Mastech Digital. We are an IT Staffing and Digital Transformation Services company. Over the years, we have mastered the art of finding the right talent for your IT needs in the most efficient way. We understand the growing need for the digital workforce as well as the importance of people who deliver value out of mainstream technologies. We are proud of our engagements with leading corporations across the U.S., helping them staff their IT needs on time, every time. Backed by robust sourcing practices and screening methodologies, our vibrant teams spread across the U.S. and India are able to drive high levels of staffing efficiencies for our clients. Beyond servicing the usual staffing needs efficiently, we have a habitual flair in finding ‘purple squirrels’ – those uncommon and specialized skill sets that are otherwise hard to source.

Our exposure to the evolution of technology has enabled us to build a practice-based approach to service our clients and has led us to nurture capabilities in Digital Transformation Services. Our teams, today, specialize in building applications that support the digital ecosystem on analytics, cloud, social and mobility. Our digital technology practices include Data Management & Analytics, Salesforce, and SAP HANA, while our Digital Learning practice delivers value to organizational learning and development through programmed digital content and design thinking.

Our investments in proprietary methodologies and custom workshops are backed by a Global Delivery Model to ensure proven efficiencies and increasing value to our clients.

A minority-owned organization, Mastech Digital is listed on the New York Stock Exchange under the symbol MHH.",1.0
63,"Managing your risk, safety, and claims is hard enough. Why make it harder with a patchwork of spreadsheets and limited reporting tools? Our secure, easy-to-use RMIS (Risk Management Information System) tackles your daily challenges with better data, faster analytics, and smarter insights. It’s no wonder why more organizations choose Marsh ClearSight than any other vendor as their preferred RMIS.

",1.0
64,"We take pride in providing leading edge technology services to our clients with the idea that they gain competitive advantage in the markets they operate. Our motto is applied innovation where ideas turned in to revenues. Our unique value proposition is Frameworks driven execution. Over the years, we have invested significant amount of resources in developing these frameworks which provide improved quality and reduced time to market. 

Corpus Software is one of the fastest growing IT Solutions and Services Company focused in Digital Media Entertainment, Embedded Systems and Business Analytics with offices across Americas, Europe, APAC, Middle East & Africa.",1.0
65,"The ePlus Advantage - we deliver Procurement Intelligence -- the right information when and where you need it to make the best purchasing decisions for strategic procurement initiatives -- using advanced web-based ePurchasing solutions that help businesses of all sizes achieve a substantial, immediate and sustainable ROI.

About ePlus
ePlus Systems has more than 20 years of procurement software experience.  Our world-class team of industry experts in enterprise procurement, eProcurement, and product development works with our customers to continually evolve best-in-class solutions.  ePlus Systems is a wholly owned subsidiary of ePlus (Nasdaq NGM: PLUS).  Founded in 1990, ePlus has more than 700 associates in 20+ locations serving federal, state, municipal and commercial customers.  The Company is headquartered in Herndon, VA. 

Disclaimer
The opinions expressed on this site are made by individuals and do not necessarily represent the views of ePlus.  Referrals do not constitute an endorsement or guarantee by the Company, its employees, or affiliates about the quality of product or service that may be provided, or that it will meet your needs, and it is up to you to conduct appropriate due diligence before selecting any product or service provider to determine if it will meet your needs with terms and conditions that are satisfactory to you.",1.0
66,"Infocrossing, Inc., A Wipro company, is the only end-to-end IT Infrastructure Management solution company that offers large and mid-market customers an Enterprise Delivery Model to expertly manage the burden of vital daily operations so our customers can focus on their strategic goals.

For over 25 years, Infocrossing has been entrusted with our customers’ most important asset—their data. We consider this trust a sacred bond that validates our capabilities and a mantra to continually strive to improve our offerings and solutions.

We operate five world-class data centers and offer extensive expertise with every computing platform, including mainframes, iSeries, Windows, Unix and Linux servers, as well as networking, security and storage systems. 

We know our customers’ businesses are constantly in flux, and as transitional experts, we deliver solutions that adapt to their changing needs.  The unique difference that we bring to each relationship includes:

- Global Reach: Brings the most effective resources to each engagement. 
- Access: A shared delivery model provides clients with greater access to expertise and technologies. 
- Diversity of Expertise: Multi-platform capabilities. 
- Client Intimacy: A unique, multi-level engagement model ensures client satisfaction. 
- Adaptive Outsourcing Model: A belief that outsourcing isn’t a one-time event, but an ongoing relationship that changes over time as clients’ requirements change. 
- Innovation: Committed to delivering ongoing business value to our clients. 

For more information, please contact Infocrossing at 866.779.4369 or email us at info@infocrossing.com.",1.0
67,"Dodge Data & Analytics partners with construction professionals to help them be insightful, productive and successful. As the leading provider of data, analytics, and intelligence to the North American construction industry, Dodge Data & Analytics enables building product manufacturers, architects, general contractors, subcontractors, engineers, and related audiences to size their market opportunity, prioritize prospects, build relationships, strengthen market positions and optimize sales strategies. 

Solutions include: Dodge Global Network, Dodge Pipeline, Dodge MarketShare, Dodge BuildShare, Dodge SpecShare, Dodge PlanRoom, and Sweets.",1.0
68,"At Lumenate, we are award-winning architects of flexible infrastructures, protectors of our customers' digital assets, and connectors to information everywhere.  We deliver business outcomes through our proven nCubed approach, which extracts our customers’ vision of 'Nirvana', assesses their 'Now' state, and then thoughtfully creates a roadmap for the ’Next'.

With a national presence and services capabilities to design, implement, manage, monitor and maintain, we unlock the value of market-leading technology solutions from our strategic technology partners for customers who demand more than products - - they demand solutions that drive business impact.

Welcome to the LumeNation.",1.0
69,"For over 25 years, CEI has provided IT Consulting, Custom Software Development, and Managed Services. CEI has offices and delivery services across the United States, as well as an offshore delivery center in Chennai, India. CEI works with clients ranging from the Fortune 50 to smaller, regional firms across multiple industries. 

CEI prides itself on staying ahead of the technology innovation curve and is an active partner to some of the market’s best technology innovators, including a managed partnership with Microsoft. In addition to Microsoft Development, CEI also offers Mobile Development, Open Source Development, UX and Visual Design, Quality Assurance, Business Analysis and Project Management.

The company has been named three times consecutively to both the Inc. 500 list of America’s fastest growing private companies and the Smart 100 list of America’s most innovative IT service providers and is a four-time Pittsburgh Technology Council Technology 50 honoree. ",1.0
