,Company Decscription,Actual Labels,Predicted Labels
141,"Nexus was acquired by Dimension Data in 2014. Nexus, a Dimension Data Company, is passionate about our belief in the power of advanced technologies to transform business. We have over 30 years of experience helping organizations Connect to their customers, Collaborate to achieve their vision, and Create innovative ways to solve business problems using advanced technology. We do this by providing expertise in end-to-end technology solutions based on our distinct, yet complementary practices: Collaboration, Data Center, Cloud, Enterprise Networks, Business Video, and Consulting and Managed Services. 

Nexus partners with industry leaders including Cisco, EMC, Microsoft, Apple and VMware to ensure its customers are provided the most comprehensive and competitive solutions. Nexus serves the private sector, from small business to the Fortune 500; and the public sector including local, state, and federal government. Additionally, Nexus has highly specialized vertical market practices including education, retail, hospitality, and healthcare where it has developed proprietary applications that turn unified communication into clinical workflow solutions. 

For additional information, please visit www.nexusis.com.",1.0,1.0
685,"“Online learning is not the next big thing, it is the now big thing” - Donna J 
Presenting the ‘‘now big thing’’ in e learning- PARADISO SOLUTIONS
(Website : https://www.paradisosolutions.com)
(Tel: +1 800 513 5902 or email: sales@paradisosolutions.com). 

Paradiso is a technology company with the DNA of Silicon Valley and a massive global presence. Founded in 2007, we believe that  e learning should be fun and engaging, and be able to create a culture of innovation and intense customer focus, hence Paradiso LMS.

We provide complete e learning solutions to both corporates as well as educational institutions across the globe, including USA, Canada, Columbia, Australia, Argentina, India and Europe.

Our most successful e learning solution is our award winning Paradiso LMS, consistently ranked among the top 3 LMS in the world.

Looking for an effective way to train employees and staff? A way to increase and maintain student engagement? Something that doesn’t limit you to a single device and is fun and easy to use? No matter what your e learning woes may be, there is one simple answer - Paradiso LMS.

Paradiso Solutions offers LMS implementation, consulting, support, hosting, training and course creation. Pur LMS hosts features such as gamification, social learning and mobile compatibility, multi-tenancy and much more. Our multi-tenant feature allows you to use a single LMS for different departments or programs or branches, which results into centralized reporting and lesser implementation and operating costs. Paradiso LMS uses gamification and social learning aspects to create engaging experiences for the learner, so they learn better and faster. 

Want an LMS expert to talk to you -
Call us at +1 800 513 5902 or email sales@paradisosolutions.com",1.0,1.0
660,"ServiceSkills.com | Telephone Doctor Customer Service Training

The premier soft-skills eLearning platform which empowers your staff to improve customer service, enhance team collaboration and manage more effectively. Available as either a hosted solution or via LMS courseware, our award-winning learning modules deliver proven skills & techniques to help your team navigate challenging customer service and peer communication situations.

www.ServiceSkills.com  www.TelephoneDoctor.com  www.NancyFriedman.com",1.0,1.0
260,"Precision Systems is a staffing firm that brings top Information Technology talent to its clients. Precision has  placed thousands of IT professionals, both full-time and consulting, on client projects throughout the US and Canada.

Tired of wading through piles of candidates who lack the technical competence and depth of experience that you need in your technology organization? Let Precision's team help!

Precision's recruiters have the knowledge and background to assess the technical competence of candidates and the relevance of their prior experience. We send you only those candidates who are truly qualified, and within that set, recommend the candidates we think are the very best fit for your project. We don't waste your time on inappropriate candidates.

Specialties

Precision helps clients staff the full spectrum of IT needs, including:
Application Developers: Java, C#, C++, Smalltalk, VisualBasic, etc.
Designers, architects: UML, OOA, OOD, Web Services, .NET
Data warehousing, Business Intelligence
Database experts / DBAs / Data modelers: Oracle, SQL Server, DB/2, etc.
QA: automated, manual, performance / stress testing
Project management, Agile methodology
Configuration Management
System Administration / Infrastructure Support / Network Engineers",1.0,1.0
964,"City High-Middle is a public school of choice for academically talented and highly motivated students in Grand Rapids, Michigan. Enrollment is limited to approximately 700 students in grades 7-12 who have been selected on the basis of normed-reference examination scores in reading, writing and mathematics.

City is an institutional member of the College Board and is working to become an International Baccalaureate World School.",2.0,2.0
51,Provides services,0.0,1.0
684,"Hapara gives teachers and administrators greater visibility into digital learning experiences

Our instructional management suite enables teachers and administrators to provide all learners with safe, personalized and visible digital learning environments. Hapara provides educators with unprecedented access and visibility into learner work across G Suite. 

Hapara Analytics provides objective data about your digital adoption, allowing school administrators to see and evaluate data about learner engagement, collaboration and device usage, going back to the day G Suite was implemented. ",1.0,1.0
107,"Covestic is a leading provider of IT services for midsize and enterprise organizations, federal, state, and local government agencies and educational institutions. We maintain close partnerships in our key focus areas such as cloud computing, IT service management, mobile payment solutions, and project delivery with companies such as Microsoft, SalesForce.com and ServiceNow. In addition, our staff maintain a high level of partner certifications and ITIL® certification training as well as specialized training to ensure successful implementations in areas such as project management, application integration and business intelligence.

Our mission is to:
Deliver practical IT services and solutions that optimize the value technology can bring to business. Our people are business savvy, technically adept, and operationally disciplined. We excel at what we do and are vested in the success of our clients, employees, and community.",1.0,1.0
994,"Betty's is an independent eatery located in Kutztown, Pennsylvania. The menu features Mission-style burritos and wraps, fresh salads, homemade soups and fresh fruit smoothies.
Many of the menu items come vegetarian by default, and may be accomodated to vegans or those with food sensitivities.",2.0,1.0
354,"3i People, Inc. is a full-services, global Information Technology Firm including IT, Finance & Accounting, Project Management and Marketing Staffing & Recruiting services. We provide services in Customized WEB Applications, Enterprise Network Security, SAP Solutions and Vendor Management Solutions. Headquartered in Atlanta, GA, the company operates throughout the United States.",1.0,1.0
192,"Edgewater Ranzal is an Oracle Platinum Partner deeply rooted in Enterprise Performance Management (EPM). Coupled with our Business Intelligence (BI) and Big Data (BD) expertise, we provide holistic business analytics solutions t​hat help organizations define, measure, and innovate their business, provide a clear vision, and drive business value.

Over 1,000 customers and more than 2,000 projects completed across North America and Europe; Oracle Platinum Partner with over 200 certified consultants and Oracle ACEs; recognized advisory relationship with Oracle Product Development, CAB, and SIG members; multiproduct focus across the entire Oracle Business Analytics Suite.

For more information about Edgewater Ranzal, email info@ranzal.com, visit our website at ranzal.com or phone 914-253-6600.

“Edgewater Ranzal has been a trusted advisor to Oracle Business Analytics customers for over 20 years.  They were the first partner at Arbor Software and have stood the test of time through Hyperion and now Oracle.  We are very grateful for the leadership of Robin Ranzal as she and her team have consistently brought great insights and the voice of the customer to the Oracle Business Analytic product strategy organization keeping our solutions at the forefront of the market.”
                     - Rich Clayton, Vice President, Business Analytics Product Group, Oracle Corporation",1.0,1.0
306,"A Division of BG Staffing, Inc.

Vision Technology Services is a leading provider of IT talent and project management services to companies throughout the mid-Atlantic region and selected markets across the country. That means we can open doors for IT professionals to top employers with a wide variety of IT needs and opportunities.

Our expertise is execution—delivering the people and processes to help our clients successfully deploy IT solutions. And we measure what matters, dedicating ourselves to consistently outperforming the largest national IT staffing firms.",1.0,1.0
703,"Turn your training budget into a lasting investment

Give your employees the solutions which allow them to achieve, in the shortest possible time, the linguistic skill levels required for their jobs in the company.

Go For Languages – your training partner

Wherever you are
Our trainers teach – you choose the place.

Time-saving
Effective, short, intensive courses – you choose the time.

Maximum flexibility
A lesson can be cancelled or postponed up to 4 hours before it is due to start

Minimum cost
The lowest and most competitive rates in the market

Comprehensive course administration and management
Our coordination service organizes and monitors all training.",1.0,1.0
413,"Strategic Business Systems, Inc. (SBS) is an Information Technology (IT) Services and Consulting Firm headquartered in the Washington, DC metropolitan area. SBS provides IT infrastructure design, integration, and operation services to corporate, non-profit, and government entities. Our expertise encompasses the full spectrum of infrastructure technologies including the latest cloud infrastructure, big data, network, server, storage, backup and recovery and disaster recovery, security, and Internet technologies.

Customer Commitment:

In every engagement, we strive to strengthen our understanding of the evolving business and IT challenges faced by our customers. We constantly monitor our performance in relation to our customer’s expectations and continue to refine our services and delivery methodology to maximize results for our clients. SBS is completely committed to our client’s success at every level.

Employee Commitment:

Our employees make SBS a truly unique organization. SBS is committed to their technical, professional, and financial growth. This commitment results in a higher quality of service to our customers and provides a great atmosphere for our employees. All of our consultants are part of a larger team that relies on each member to provide the customer with the best level of service possible. It is this total commitment to our people that sets us apart from the competition.",1.0,1.0
1000,Photography studio,2.0,2.0
361,"At Chatsworth Products (CPI), it is our mission to address today’s critical IT infrastructure needs with products and services that protect your ever-growing investment in information and communication technology. We act as your business partner and are uniquely prepared to respond to your specific requirements with global availability and rapid product customization that will give you a competitive advantage. At CPI, our passion works for you. With over two decades of engineering innovative IT physical layer solutions for the Fortune 500 and multinational corporations, CPI can respond to your business requirements with unequalled application expertise, customer service and technical support, as well as a global network of industry-leading distributors. CPI’s extensive product line includes: Rack Systems, Cabinets, Enclosures and Containment Systems, Cable Management, Cable Runway and Tray, Power Management, Zone Cabling and Wireless Enclosures, Wall-Mount Systems, KVM Systems, Environmental Monitoring and Security, Software, Grounding and Bonding and Seismic Protection Systems. CPI also offers a variety of Thermal Management Solutions to help customers reduce energy consumption and overcome increasing equipment density requirements. Additionally, CPI provides a variety of free apps and online design tools, including the CPI Online Catalog, Product Configurator, CPI Mobile App Suite, CPI Mini Catalog App and more.",1.0,1.0
547,"Conference Technologies, Inc., established in 1988,  specializes in systems integration of communication and presentation environments. We consult, design, and engineer the most advanced conference, presentation, and training facilities in the country. The systems and technologies that we implement are design-driven, meaning that our engineers design systems based upon client needs, not upon allegiance to certain product lines.

Conference Technologies, Inc.® is proud to hold a General Services Administration (GSA) contract.
Contract GS-03F-0124Y
Schedule 58 I
Categories 58 8, 58-9",3.0,1.0
298,"DataVox Summary

Established in 1988, DataVox offers businesses the convenience of working with a single advanced technology partner to design, coordinate, implement, service and maintain all aspects of their telephony, information technology, infrastructure, audio visual and security systems. Headquartered in Houston, Texas, DataVox has over 200 employees and serves over 7000 customers. Our award-winning customer service team is here to support your organization 24 hours a day / 7 days a week.

Better Business Bureau - Pinnacle Winner 2016

DataVox Awards

As a two-time recipient of the Houston Better Business Bureau (BBB) Pinnacle Award and an eight-time recipient of the BBB Award of Excellence: Winner of Distinction, DataVox has a proven commitment to customer service excellence.  Other recent DataVox awards include:
Awarded Top Honor by Houston Better Business Bureau: The Pinnacle Award
2016 Pinnacle Award Winner, Houston Better Business Bureau
2014 Pinnacle Award Winner, Houston Better Business Bureau
Eight-Time Winner
Award of Excellence: Winner of Distinction, Houston Better Business Bureau
Five-Time Winner
Houston Fast 100 Award, Houston Business Journal
Four-Time Winner
Small Business 100 Award, Houston Business Journal
Two-Time Winner
Cisco Partner of the Year Award
Two-Time Winner
Cisco Service Partner of the Year, South Region
Multiple Winner
Cisco Customer Satisfaction Excellence Awards
Winner
Cisco Capitol Partner of the Year, South Region
Winner
Top 25 Privately-Owned Businesses, Houston Business Journal
Winner
Ernst & Young’s Entrepreneur of the Year Award

DataVox Products & Services Include

Audio Visual
Cloud Solutions
Data Center & Network Technologies
Network Cabling
Phone Systems
Security Cameras & Access Control",1.0,1.0
901,"Delivering progressive education based on the philosophies of Rudolf Steiner to Pittsburgh families.

“Our highest endeavor must be to develop free human beings who are able of themselves to impart purpose and direction to their lives.”

We are located in the Bloomfield/Friendship neighborhood, east of The Strip near the Penn Avenue Arts District.",2.0,2.0
351,"Systems Made Simple, A Leidos Company, is a leading provider of information technology in the healthcare industry. Since 1991, Systems Made Simple has provided information technology services, systems and software engineering, program management, and infrastructure services that address unique business and operational challenges. Our health IT solutions improve day-to-day business transactions, maximize efficiency, eliminate risks, reduce costs and, most importantly, improve outcomes for customers, patients, providers and payers.

We are currently a prime contractor for the Department of Veterans Affairs’ Transformation Twenty-One Total Technology (T4) and a prime contractor for National Institute of Health’s Chief Information Officer – Solutions and Partners 3 (CIO-SP3).

To learn more, visit  www.systemsmadesimple.com",1.0,1.0
405,"Healthland is the market leader in serving rural community and critical access hospitals (typically 50 beds and less, providing care to nearly 60 million people). In fact, we’re the only healthcare software company exclusively dedicated to this market, where seeing patients means treating friends, family, and neighbors. For more than 30 years, our technologies and services have enabled these hospitals to continue providing excellent care to the people of their communities.

Headquarters::Minneapolis, MN  
Regional Office::Glenwood, MN

Interested in working at Healthland?  Visit our careers page at http://www.healthland.com/about_us/careers/.",1.0,1.0
265,"Aquilent puts innovation to work for your organization as the leading solution provider of Digital Services, DevOps & Agile and Cloud Services exclusively for the federal government. We leverage the best technologies available to deliver quality results that exceed your expectations. We take total project ownership, so you can focus on your core mission with confidence and accomplish more than you thought possible.

Our commitment to exceed your mission objectives is underscored by The Aquilent Advantage™. Founded on our federal expertise and compelled by our passion for exceptional customer service, our rare combination incorporates strategy, innovation, process improvement, high-quality execution, experienced teams and our consultative approach as your trusted advisor—and our solutions are all easily accessible through our wide variety of procurement options. 

Aquilent, an Inc. 500|5000 company, has been recognized as a Washington Post “Top Workplaces”, five times named one of the “Best Places to Work” by the Washington Business Journal, five times honored as a Government Contracting Firm of the Year , three times named an Amazon AWS Premier Consulting Partner, and twice chosen as a“Top Workplace” by The Baltimore Sun. To learn more about Aquilent, visit www.aquilent.com, and follow us @Aquilent.",1.0,1.0
467,"About Sita Corp
Founded in 1993, Sita Corp is a leading global provider of business collaboration, providing enterprise data, analytics and mobile communications solutions to connect businesses, partners and consumers. Headquartered in Somerset, New Jersey, with offices around the world, Sita Corp assists medium-size to Fortune 500 public and private sector companies around the globe in achieving enterprise-wide efficiencies that cut costs, improve operations and increase profitability. Sita Corp delivers innovative software applications, solutions and key services built around connecting people faster to the information they need.
www.sitacorp.com

About Sojourner
Sojourner’s mobile enterprise application platform puts the power of critical business data in the hands of team members, when and where they need it most. The Sojourner platform of subscription-based mobile enterprise applications serves industries across more than 15 major verticals. Sojourner’s dynamically configurable technology and intuitive user interface offer a responsive mobile platform that integrates quickly and easily with existing and future systems, delivers to any desktop or mobile device, and requires little to no end-user training. 
www.sojourner.mobi",1.0,1.0
889,"We strive to provide world-class quality education at affordable costs for developing countries.  We stress quality and value in our services. Our fast-paced approach to learning will introduce talent to fundamental global business ideas and will empower them to expand, grow and seek new opportunities worldwide. At Chicago Institute of Business, we believe that success is achieved through education.",2.0,1.0
440,"Tektree is a Business Centric Strategic IT Solutions Partner specialized in Enterprise Architecture, BPM, SOA, B2B, Big Data, Enterprise Mobility, ODC and Cloud Computing Services.

Tektree helps customers in defining their Enterprise Strategy, building up the Roadmap and setting up Center of Excellence/Governance.

The principles and core values are an integral part of Tektree conducting Business honourably, ethically, and with the utmost professionalism that protects the trust and the confidence.

Tektree Management consists of specialized and certified Business executives from the IT industry with an average industry experience of over 20 years. Their experiences vary from Banking to Insurance to Retail to Logistics and have worked for major corporations and for major consulting companies.


TEKTREE is an Equal Opportunity Employer.",1.0,1.0
1019,"CEU Institute is a nationally accredited administrator of CE/CLE/CPE programs to the Insurance, Healthcare, and Legal industries. Our key audience within the insurance industry is: adjusters that handle general liability, commercial, specialty, personal, and WC claims, agents, attorneys, forensic accountants, and nurse case managers. Our key audience within the healthcare industry is: nurses, rehab and LTC professionals, and hospital/MCO case managers. We handle accreditation for conferences and seminar.  We manage and accredit custom programs and content.  

Accreditations:
All Departments of Insurance for each state for Agents/Adjusters
National Nursing approvals through reciprocity of state BON's with FL, CA, AL, and DE.  (except IA)
All State Bar's for CLE/MCLE 
National Accreditation with NASBA for Accountants
National Certifications with CCMC, CRCC, CDMS
Regularly receive course approvals through Insuance Education Association
HRCI (Human Resources Certificaion Institute)
PT's/OT's",2.0,1.0
31,"At Velociti, our sole mission is the deployment and service of technology.  We have built our company and our reputation around the fact that we understand the importance of the implementation process and that our customers are looking for quality solution installations, which our implementation process delivers. 

We offer a unique expertise that can be leveraged in any business environment. We understand that a lengthy technology deployment process can be the demise of any great ROI model, so let our experts give your business an edge by maximizing the benefits and the return on your investment through precise rapid deployment.

We understand that the key to a successful deployment begins with our knowledgeable full-time staff of certified Technicians and Project Managers who not only understand the technology and installation processes, but also the impact of it.  When you combine our knowledge and expertise with our web-based project management tool, which allows you to follow the process every step of the way, you’ll quickly understand the Velociti Difference.  The key to a successful technology deployment and the realization of the ROI is the quality of the solution installation and the speed at which it can be deployed.

Our services include, but are not limited to:

Fleet In-Cab Communication Installations
Wireless Local Area (WLAN) Installations
WiFi Installations
Fleet Tracking (GPS) Installations
Digital Signage Installations
Collision Avoidance Installations
Video Monitoring Installations
Kiosk Installations
RFID Installations
Trailer Skirt Installations
Tire Inflation Installations
Wireless Back-up Router Installations
Cellular Site Survey's",0.0,1.0
485,"Isotrak provides real-time visibility, control and measurement of fleet performance to help supply chain management teams quickly address transportation problems and change the outcome before they turn into costly errors. For management teams that require a solution designed to address all areas of the transport and customer service process, Isotrak offers a fleet management solution that enables enterprises to gain real-time visibility, control and measure their fleet's performance, and improve efficiency through a robust data-driven platform. Isotrak's highly customizable dashboards with exception-based alerting help organizations prioritize and focus on what really matters, empowering teams to make quick, informed decisions that impact the bottom line.

Isotrak’s mission is to enable our customers to manage their internal and external fleets in a progressively efficient and effective way, whilst meeting the growing demands of operational compliance within an increasingly complex global transportation and logistics environment. We achieve this through fostering high value customer partnerships and delivering industry leading systems, analysis, training and support through innovative and dedicated people.

We believe the supply chain is more than just a means of delivering goods, it is a way to connect technology with customers to enhance value. We Connect.  You Deliver.",1.0,1.0
442,"Vision Consulting, LLC is a Nashville-based professional services organization that provides advanced Healthcare Information Technology (HIT) services. Our clients range from Integrated Delivery Networks to small rural hospitals. Vision’s founders and consultants have broad technical and clinical HIT experience. We believe that in an increasingly clinically focused HIT environment, our client’s future success requires technical support combined with clinical insight and focus.",1.0,1.0
70,"Founded as a local computer consulting company in 1979, Levi, Ray & Shoup, Inc. (LRS) has grown to become a global provider of innovative information technology solutions with more than 600 employees. Corporate headquarters are located in Springfield, Illinois, and LRS offices are found throughout the United States and around the globe.",1.0,1.0
620,"Through his experience as a master salesman, author, and public speaker, Jeffrey Gitomer realized that there was a better way for people to learn and master his principles and philosophies. TrainOne educates sales and service professionals by bringing Jeffrey's teachings to them through classroom and web-based interactive courses.",1.0,1.0
980,"Forum-Nexus offers multi-country study abroad programs to both undergraduate and graduate students from all over the world. 

We have a track record of 27 years of successful intensive summer programs in Europe. Since 1990, over 3,300 students from more than 170 universities have participated in Forum-Nexus programs in Spain, France, Italy, Greece, Germany, Switzerland, Turkey, Austria, Holland and the Czech Republic.

Our students learn while traveling, studying in some of the best universities in Europe, while engaging with top professors and interacting with global leaders.",2.0,2.0
231,"Enterprise Information Services, Inc. (EIS) is a leading mid-tier solutions integrator providing Systems Engineering, Information Technology, and Program Management Office (PMO) services and solutions to the Federal Government for more than 20 years. EIS employs more than 400 professionals in 40 locations in over 25 states and OCONUS, and calendar year 2016 revenues rate exceeds $60 million.

EIS is an agile and dynamic company with relentless focus on customer mission success and delivering the best value to all our clients under all engagements.

EIS is CMMI DEV and SVC Maturity Level 3 appraised and ISO 9001:2008, 20000-1:2011, and 27001:2013 certified company. EIS enjoys excellent financial stability and has remained debt-free since inception. EIS has 8(a), Small Business, and Small Disadvantaged Business (SDB) contract vehicles under the $27.5 million size standard to partner with Federal agencies and industry partners. EIS is a small business under a 500 employee NAICS size standard.

Services
* Program/Project Management Office (PMO), Portfolio Management (CPIC), and Enterprise and Data Architecture
*  Major Systems Acquisition, Program Management, Business/Financial Management, EVM, and Logistics
* Systems Engineering and SETA
*  IT Systems and Services, Software Engineering, BPR, Software Development, Mobile Solutions, Big Data, and Data Analytics
* Systems and Software IV&V, Information Assurance, Information Security, and Cyber Security
* Network and Data Center Operations, IT Infrastructure, Network Engineering, Telecommunications, and End User IT Support

Mission
EIS is dedicated to complete customer satisfaction through delivering high-quality and innovative services and solutions.

Please visit our web site, www.goeis.com",1.0,1.0
675,"ArcheMedX is transforming the world of medical education with a revolutionary training and analytics platform that sits at the intersection of e-learning, data science, and healthcare. The Company is directed by an experienced team of industry leaders, recently closed an equity round of financing, and is actively expanding its leadership team based in Charlottesville, VA.

The company's award-winning products power and analyze hundreds of interactive and engaging online education and training programs for many of the nation's leading healthcare organizations. Our cutting edge science and data-driven approach to online learning is changing the way hospital systems, national medical societies, pharmaceutical firms, and global education companies utilize digital training and learning data to transform their operations, helping to ensure millions of patients receive better care at lower cost.
 
To learn more, visit http://www.archemedx.com.",1.0,1.0
998,"Strong School is located in the Western Mountains of Maine.  We offer a full curriculum to students in grades Kindergarten through grade 8.  Kindergarten is an all day program.  Students in grades 7 and 8 have an opportunity to choose a VAPA (visual and performing arts) class.  An anti-bullying program is also in place to help make Strong School, ""Where the Best Get Better.""",2.0,2.0
739,"Trainers Alliance International was formed in 2009 to meet the needs of corporations, business owners, and government agencies in training their employees in all phases of business.
Our Curriculum Specialists work closely with you to design a training program that specifically meets the needs of your company and your employees and that fits your training budget. We don’t believe in “one size fits all” or “off-the-rack” training. We tailor and customize each course just for your people.
Our instructors teach not only from the perspective of “book learning” but from experience gleaned from years of working in their fields. They can teach your employees skills and attitudes that will produce immediate results in their job performance, and that means a measurable increase in your company’s revenues and profits and a corresponding decrease in overhead, employee absence, and employee turnover.
Check us out!",1.0,1.0
1024,"Saint James Episcopal School of Dallas offers an excellent Montessori, Christian education. SJES provides a rich Montessori five day a week toddler program. We have three classrooms; our smaller classroom houses twelve toddlers and our two larger classrooms hold fifteen children. We have a 6:1 ratio, with a lead teacher and assistant(s). St. James offers a half day and a full day program. We offer a Mother's Day Out program to fit the needs of younger children(18 months- 3 years) who are just beginning to spend time away from home. The Montessori integrated curriculum emphasizes exceptional one-on-one attention for each child, and encourages each child to reach their full potential. 

St. James Episcopal School is committed to the Montessori approach to education providing freedom within a prepared environment, stressing academic individualized learning and development for the young child.  The Montessori Method of education develops the child’s five senses, through manipulative materials in the classroom.  Each classroom is equipped with shelves that surround the room and contain hands on educational materials. The Primary classroom is for children ages 3 to 6 years of age.",2.0,2.0
199,"Data Foundry is a privately held company that owns and operates carrier neutral data centers providing colocation, managed services and dedicated office space to businesses requiring uptime, connectivity, and room for growth. 

Data Foundry controls and manages over 650,000+ square feet of data center facilities in Austin and Houston, Texas, as well as, global facilities and private networks. The Company serves thousands of enterprise customers across a variety of industries, including energy, technology, healthcare and financial services. 

Founded in 1994 originally as Texas.net, it was the first Internet Service Provider in San Antonio, and one of the initial 50 Internet service providers in the United States. Texas.net changed its name to Data Foundry in 2005 to recognize its national and international customer base.

Data Foundry is expanding and open positions are available, so please check out the career section and apply if you are talented and passionate about customer service.   

Affiliated Companies: 
Golden Frog 
Giganews",1.0,1.0
807,"edtec central is an education service provider dedicated to providing educational management and consulting services to schools.  From high-quality educational programs during school hours to dynamic, innovative after school programming, we serve a wide variety of students in the Detroit Metropolitan area and across the state of Michigan.  Our students range from 6th to 12th grade; and the schools range from strict-discipline environments to virtual learning environments.  What makes edtec schools unique is the diversity of the students we educate.  We strive to provide equitable, innovative, high-quality educational opportunities for each and every student, and we feel that the success and diversity of our student population proves that we are achieving that goal.",1.0,2.0
